,Team,Season Year,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
30,PHI,2024,Tyrese Maxey,Tobias Harris,Joel Embiid,De'Anthony Melton,P.J. Tucker,Kelly Oubre Jr.,Patrick Beverley,Paul Reed,Danuel House Jr.,Danny Green,,,,,
31,TOR,2024,Scottie Barnes,Pascal Siakam,Dennis Schröder,Gary Trent Jr.,Jakob Poeltl,Gradey Dick,Precious Achiuwa,Malachi Flynn,Chris Boucher,Jalen McDaniels,,,,,
32,MEM,2024,Desmond Bane,Ziaire Williams,Marcus Smart,Jaren Jackson Jr.,Xavier Tillman Sr.,David Roddy,John Konchar,Derrick Rose,Jake LaRavia,Kenneth Lofton Jr.,,,,,
33,WAS,2024,Kyle Kuzma,Jordan Poole,Daniel Gafford,Tyus Jones,Deni Avdija,Corey Kispert,Delon Wright,Bilal Coulibaly,Mike Muscala,Danilo Gallinari,,,,,
34,GSW,2024,Stephen Curry,Klay Thompson,Andrew Wiggins,Kevon Looney,Draymond Green,Chris Paul,Dario Šarić,Jonathan Kuminga,Gary Payton II,Moses Moody,,,,,
35,HOU,2024,Jalen Green,Jabari Smith Jr.,Dillon Brooks,Alperen Sengun,Fred VanVleet,Jae'Sean Tate,Jeff Green,Amen Thompson,Reggie Bullock,,,,,,
36,SAS,2024,Devin Vassell,Victor Wembanyama,Zach Collins,Keldon Johnson,Jeremy Sochan,Malaki Branham,Tre Jones,Cedi Osman,Charles Bassey,Doug McDermott,Julian Champagnie,Blake Wesley,Sandro Mamukelashvili,Dominick Barlow,
37,LAC,2024,Kawhi Leonard,Paul George,Russell Westbrook,Robert Covington,Ivica Zubac,Bones Hyland,Mason Plumlee,Norman Powell,KJ Martin,Nicolas Batum,Amir Coffey,Kobe Brown,Moussa Diabaté,,
38,ATL,2024,Trae Young,Dejounte Murray,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,Bruno Fernando,Trent Forrest,Kobe Bufkin,Mouhamed Gueye,,
39,MIL,2024,Malik Beasley,Giannis Antetokounmpo,Damian Lillard,Jae Crowder,Brook Lopez,Pat Connaughton,Bobby Portis,MarJon Beauchamp,Cameron Payne,Thanasis Antetokounmpo,Andre Jackson Jr.,A.J. Green,Robin Lopez,TyTy Washington Jr.,
40,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Michael Porter Jr.,Aaron Gordon,Reggie Jackson,Peyton Watson,Christian Braun,Zeke Nnaji,Julian Strawther,Collin Gillespie,Braxton Key,Justin Holiday,Hunter Tyson,
41,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Cason Wallace,Ousmane Dieng,Isaiah Joe,Aleksej Pokusevski,Vasilije Micić,Aaron Wiggins,Tre Mann,Keyontae Johnson,Olivier Sarr,
42,POR,2024,Shaedon Sharpe,Jerami Grant,Scoot Henderson,Deandre Ayton,Matisse Thybulle,Toumani Camara,Malcolm Brogdon,Robert Williams,Jabari Walker,Kris Murray,Skylar Mays,Rayan Rupert,,,
43,PHI,2024,Tobias Harris,Tyrese Maxey,De'Anthony Melton,Joel Embiid,P.J. Tucker,Kelly Oubre Jr.,Patrick Beverley,Paul Reed,Danuel House Jr.,Jaden Springer,Furkan Korkmaz,Filip Petrušev,Mo Bamba,,
44,LAL,2024,Anthony Davis,Taurean Prince,D'Angelo Russell,LeBron James,Austin Reaves,Gabe Vincent,Rui Hachimura,Christian Wood,Jaxson Hayes,Cam Reddish,,,,,
45,SAC,2024,Harrison Barnes,Kevin Huerter,De'Aaron Fox,Domantas Sabonis,Keegan Murray,Malik Monk,Sasha Vezenkov,Davion Mitchell,JaVale McGee,Chris Duarte,,,,,
46,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Naz Reid,Shake Milton,Nickeil Alexander-Walker,Luka Garza,Josh Minott,Jordan McLaughlin,Daishen Nix,,
47,ATL,2024,Dejounte Murray,Trae Young,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Onyeka Okongwu,Bogdan Bogdanović,AJ Griffin,Kobe Bufkin,Bruno Fernando,Mouhamed Gueye,,,
48,BRK,2024,Cam Thomas,Mikal Bridges,Ben Simmons,Dorian Finney-Smith,Spencer Dinwiddie,Royce O'Neale,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,,,,,,
49,CHO,2024,Terry Rozier,P.J. Washington,Gordon Hayward,Mark Williams,LaMelo Ball,Brandon Miller,Théo Maledon,JT Thor,Nick Richards,,,,,,
50,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Talen Horton-Tucker,Walker Kessler,Keyonte George,Kelly Olynyk,Collin Sexton,Ochai Agbaji,Kris Dunn,,,,,
51,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Aaron Gordon,Michael Porter Jr.,Christian Braun,Reggie Jackson,Peyton Watson,Zeke Nnaji,Julian Strawther,,,,,
52,CHI,2024,Zach LaVine,DeMar DeRozan,Nikola Vučević,Coby White,Patrick Williams,Alex Caruso,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
53,IND,2024,Bruce Brown,Tyrese Haliburton,Myles Turner,Bennedict Mathurin,Obi Toppin,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Jalen Smith,,,,,,
54,ORL,2024,Franz Wagner,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Jalen Suggs,Cole Anthony,Gary Harris,Joe Ingles,Moritz Wagner,Jonathan Isaac,Goga Bitadze,,,,
55,LAL,2024,Anthony Davis,D'Angelo Russell,LeBron James,Austin Reaves,Taurean Prince,Christian Wood,Gabe Vincent,Cam Reddish,Jaxson Hayes,,,,,,
56,DAL,2024,Luka Dončić,Josh Green,Grant Williams,Derrick Jones Jr.,Dereck Lively II,Tim Hardaway Jr.,Maxi Kleber,Seth Curry,Dwight Powell,Jaden Hardy,Dante Exum,,,,
57,MEM,2024,Desmond Bane,Marcus Smart,Jaren Jackson Jr.,Ziaire Williams,Xavier Tillman Sr.,David Roddy,John Konchar,Derrick Rose,Jake LaRavia,,,,,,
58,MIA,2024,Tyler Herro,Jimmy Butler,Kyle Lowry,Thomas Bryant,Kevin Love,Orlando Robinson,Josh Richardson,Jaime Jaquez Jr.,Duncan Robinson,Nikola Jović,,,,,
59,MIL,2024,Damian Lillard,Malik Beasley,Giannis Antetokounmpo,Brook Lopez,Khris Middleton,Jae Crowder,Pat Connaughton,Bobby Portis,A.J. Green,Cameron Payne,,,,,
60,GSW,2024,Stephen Curry,Kevon Looney,Draymond Green,Moses Moody,Andrew Wiggins,Chris Paul,Brandin Podziemski,Dario Šarić,Gary Payton II,Trayce Jackson-Davis,Lester Quiñones,Cory Joseph,Jerome Robinson,,
61,NOP,2024,Jordan Hawkins,CJ McCollum,Zion Williamson,Jonas Valančiūnas,Herbert Jones,Matt Ryan,Dyson Daniels,Larry Nance Jr.,Kira Lewis Jr.,Kaiser Gates,Cody Zeller,,,,
62,DET,2024,Cade Cunningham,Isaiah Stewart,Ausar Thompson,Killian Hayes,Jalen Duren,Marvin Bagley III,Alec Burks,Jaden Ivey,Marcus Sasser,Joe Harris,Jared Rhoden,Stanley Umude,,,
63,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Josh Giddey,Luguentz Dort,Chet Holmgren,Cason Wallace,Olivier Sarr,Isaiah Joe,Ousmane Dieng,Dāvis Bertāns,Tre Mann,Aleksej Pokusevski,,,
64,POR,2024,Shaedon Sharpe,Jerami Grant,Scoot Henderson,Deandre Ayton,Matisse Thybulle,Malcolm Brogdon,Toumani Camara,Jabari Walker,Skylar Mays,,,,,,
65,TOR,2024,Scottie Barnes,Pascal Siakam,Dennis Schröder,OG Anunoby,Jakob Poeltl,Gradey Dick,Gary Trent Jr.,Chris Boucher,Malachi Flynn,Jalen McDaniels,,,,,
66,BOS,2024,Jaylen Brown,Jayson Tatum,Jrue Holiday,Kristaps Porziņģis,Derrick White,Sam Hauser,Payton Pritchard,Al Horford,Luke Kornet,Oshae Brissett,Dalano Banton,Lamar Stevens,Svi Mykhailiuk,,
67,WAS,2024,Bilal Coulibaly,Tyus Jones,Kyle Kuzma,Jordan Poole,Deni Avdija,Corey Kispert,Danilo Gallinari,Johnny Davis,Eugene Omoruyi,Ryan Rollins,Delon Wright,Anthony Gill,Patrick Baldwin Jr.,Jared Butler,
68,NYK,2024,Jalen Brunson,Julius Randle,RJ Barrett,Mitchell Robinson,Quentin Grimes,Josh Hart,Immanuel Quickley,Isaiah Hartenstein,Donte DiVincenzo,Miles McBride,DaQuan Jeffries,Jericho Sims,Dylan Windler,Ryan Arcidiacono,
69,CLE,2024,Max Strus,Evan Mobley,Donovan Mitchell,Isaac Okoro,Dean Wade,Georges Niang,Emoni Bates,Craig Porter Jr.,Tristan Thompson,Sam Merrill,Damian Jones,,,,
70,ORL,2024,Franz Wagner,Markelle Fultz,Paolo Banchero,Jalen Suggs,Wendell Carter Jr.,Gary Harris,Cole Anthony,Moritz Wagner,Joe Ingles,Caleb Houstan,Jett Howard,Chuma Okeke,Goga Bitadze,Anthony Black,
71,LAC,2024,Kawhi Leonard,Russell Westbrook,Paul George,Bones Hyland,Ivica Zubac,Norman Powell,Mason Plumlee,Kobe Brown,Amir Coffey,Jordan Miller,Moussa Diabaté,,,,
72,SAS,2024,Devin Vassell,Keldon Johnson,Jeremy Sochan,Victor Wembanyama,Zach Collins,Tre Jones,Cedi Osman,Charles Bassey,Doug McDermott,Malaki Branham,Julian Champagnie,,,,
73,PHO,2024,Kevin Durant,Grayson Allen,Eric Gordon,Josh Okogie,Jusuf Nurkić,Yuta Watanabe,Nassir Little,Drew Eubanks,Jordan Goodwin,,,,,,
74,WAS,2024,Kyle Kuzma,Deni Avdija,Tyus Jones,Mike Muscala,Jordan Poole,Bilal Coulibaly,Delon Wright,Danilo Gallinari,Corey Kispert,Landry Shamet,Johnny Davis,Eugene Omoruyi,Ryan Rollins,Anthony Gill,
75,ATL,2024,Trae Young,Dejounte Murray,De'Andre Hunter,Saddiq Bey,Clint Capela,Onyeka Okongwu,Jalen Johnson,Bogdan Bogdanović,AJ Griffin,,,,,,
76,IND,2024,Obi Toppin,Myles Turner,Bruce Brown,Andrew Nembhard,Bennedict Mathurin,T.J. McConnell,Buddy Hield,Jordan Nwora,Isaiah Jackson,Aaron Nesmith,Ben Sheppard,Jarace Walker,,,
77,BOS,2024,Kristaps Porziņģis,Derrick White,Jayson Tatum,Jaylen Brown,Jrue Holiday,Payton Pritchard,Oshae Brissett,Sam Hauser,Al Horford,Svi Mykhailiuk,Dalano Banton,Lamar Stevens,Luke Kornet,,
78,CHI,2024,Zach LaVine,Nikola Vučević,Coby White,DeMar DeRozan,Patrick Williams,Alex Caruso,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
79,DAL,2024,Luka Dončić,Dereck Lively II,Derrick Jones Jr.,Grant Williams,Josh Green,Tim Hardaway Jr.,Jaden Hardy,Seth Curry,Dwight Powell,Dante Exum,Maxi Kleber,,,,
80,POR,2024,Shaedon Sharpe,Jerami Grant,Deandre Ayton,Scoot Henderson,Matisse Thybulle,Toumani Camara,Malcolm Brogdon,Robert Williams,Jabari Walker,Skylar Mays,,,,,
81,DET,2024,Cade Cunningham,Marvin Bagley III,Isaiah Stewart,Ausar Thompson,Killian Hayes,Marcus Sasser,Jaden Ivey,Joe Harris,Stanley Umude,James Wiseman,,,,,
82,SAC,2024,Keegan Murray,Domantas Sabonis,Harrison Barnes,Davion Mitchell,Kevin Huerter,Malik Monk,Sasha Vezenkov,Colby Jones,JaVale McGee,Chris Duarte,,,,,
83,GSW,2024,Stephen Curry,Klay Thompson,Draymond Green,Andrew Wiggins,Kevon Looney,Chris Paul,Gary Payton II,Dario Šarić,Jonathan Kuminga,Moses Moody,,,,,
84,CHO,2024,Terry Rozier,P.J. Washington,LaMelo Ball,Gordon Hayward,Mark Williams,Brandon Miller,Théo Maledon,Nick Richards,JT Thor,,,,,,
85,HOU,2024,Fred VanVleet,Dillon Brooks,Jalen Green,Jabari Smith Jr.,Alperen Sengun,Jock Landale,Jae'Sean Tate,Amen Thompson,Jeff Green,Aaron Holiday,,,,,
86,LAC,2024,Russell Westbrook,Kawhi Leonard,Paul George,Bones Hyland,Ivica Zubac,Norman Powell,P.J. Tucker,Mason Plumlee,Kobe Brown,,,,,,
87,LAL,2024,Anthony Davis,LeBron James,Austin Reaves,Cam Reddish,D'Angelo Russell,Christian Wood,Max Christie,Jaxson Hayes,,,,,,,
88,BRK,2024,Royce O'Neale,Cam Thomas,Ben Simmons,Mikal Bridges,Dorian Finney-Smith,Lonnie Walker IV,Armoni Brooks,Trendon Watford,Day'Ron Sharpe,Jalen Wilson,,,,,
89,MIA,2024,Tyler Herro,Jimmy Butler,Bam Adebayo,Kyle Lowry,Jaime Jaquez Jr.,Josh Richardson,Haywood Highsmith,Duncan Robinson,Thomas Bryant,,,,,,
90,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Michael Porter Jr.,Aaron Gordon,Christian Braun,Reggie Jackson,Zeke Nnaji,Julian Strawther,Peyton Watson,Justin Holiday,Jalen Pickett,Braxton Key,Hunter Tyson,
91,MIN,2024,Rudy Gobert,Anthony Edwards,Karl-Anthony Towns,Mike Conley,Jaden McDaniels,Kyle Anderson,Nickeil Alexander-Walker,Naz Reid,Shake Milton,Troy Brown Jr.,Jordan McLaughlin,Josh Minott,,,
92,CLE,2024,Donovan Mitchell,Evan Mobley,Max Strus,Isaac Okoro,Georges Niang,Caris LeVert,Dean Wade,Tristan Thompson,Craig Porter Jr.,,,,,,
93,NYK,2024,Jalen Brunson,Julius Randle,Mitchell Robinson,Josh Hart,Quentin Grimes,Donte DiVincenzo,Immanuel Quickley,Isaiah Hartenstein,Miles McBride,,,,,,
94,NOP,2024,Jordan Hawkins,CJ McCollum,Zion Williamson,Herbert Jones,Jonas Valančiūnas,Dyson Daniels,Larry Nance Jr.,Matt Ryan,Kira Lewis Jr.,Cody Zeller,,,,,
95,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Cason Wallace,Isaiah Joe,Aaron Wiggins,Ousmane Dieng,Olivier Sarr,,,,,
96,MIL,2024,Damian Lillard,Giannis Antetokounmpo,Malik Beasley,Khris Middleton,Brook Lopez,Jae Crowder,Pat Connaughton,Cameron Payne,Bobby Portis,MarJon Beauchamp,Andre Jackson Jr.,Chris Livingston,A.J. Green,Thanasis Antetokounmpo,
97,TOR,2024,Pascal Siakam,Jakob Poeltl,Dennis Schröder,Scottie Barnes,OG Anunoby,Gary Trent Jr.,Gradey Dick,Malachi Flynn,Otto Porter Jr.,Chris Boucher,Garrett Temple,,,,
98,MEM,2024,Marcus Smart,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Xavier Tillman Sr.,David Roddy,Luke Kennard,Jacob Gilyard,Kenneth Lofton Jr.,John Konchar,Vince Williams Jr.,Jake LaRavia,,,
99,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Talen Horton-Tucker,Walker Kessler,Kelly Olynyk,Keyonte George,Collin Sexton,Ochai Agbaji,Kris Dunn,Simone Fontecchio,Omer Yurtseven,,,
100,DET,2024,Killian Hayes,Isaiah Stewart,Cade Cunningham,Jalen Duren,Ausar Thompson,Joe Harris,Marcus Sasser,Jaden Ivey,Marvin Bagley III,,,,,,
101,NOP,2024,CJ McCollum,Matt Ryan,Herbert Jones,Jonas Valančiūnas,Jordan Hawkins,Dyson Daniels,Kira Lewis Jr.,Larry Nance Jr.,Dereon Seabron,,,,,,
102,TOR,2024,Scottie Barnes,Pascal Siakam,OG Anunoby,Dennis Schröder,Jakob Poeltl,Gary Trent Jr.,Malachi Flynn,Gradey Dick,Chris Boucher,Jalen McDaniels,Garrett Temple,Thaddeus Young,,,
103,PHI,2024,Tobias Harris,Tyrese Maxey,Joel Embiid,Kelly Oubre Jr.,De'Anthony Melton,Patrick Beverley,Furkan Korkmaz,Paul Reed,Jaden Springer,Mo Bamba,Robert Covington,KJ Martin,,,
104,SAS,2024,Keldon Johnson,Zach Collins,Victor Wembanyama,Jeremy Sochan,Devin Vassell,Tre Jones,Cedi Osman,Malaki Branham,Doug McDermott,Charles Bassey,,,,,
105,PHO,2024,Kevin Durant,Devin Booker,Grayson Allen,Jusuf Nurkić,Josh Okogie,Drew Eubanks,Yuta Watanabe,Eric Gordon,Keita Bates-Diop,Jordan Goodwin,,,,,
106,ORL,2024,Franz Wagner,Paolo Banchero,Wendell Carter Jr.,Jalen Suggs,Gary Harris,Cole Anthony,Joe Ingles,Moritz Wagner,Anthony Black,Jonathan Isaac,,,,,
107,UTA,2024,Jordan Clarkson,John Collins,Lauri Markkanen,Talen Horton-Tucker,Walker Kessler,Kelly Olynyk,Collin Sexton,Keyonte George,Omer Yurtseven,Ochai Agbaji,Simone Fontecchio,Kris Dunn,,,
108,BRK,2024,Mikal Bridges,Dorian Finney-Smith,Ben Simmons,Spencer Dinwiddie,Cam Thomas,Royce O'Neale,Dennis Smith Jr.,Lonnie Walker IV,Day'Ron Sharpe,,,,,,
109,CHI,2024,Zach LaVine,Nikola Vučević,Coby White,DeMar DeRozan,Torrey Craig,Alex Caruso,Patrick Williams,Jevon Carter,Andre Drummond,,,,,,
110,DAL,2024,Luka Dončić,Kyrie Irving,Grant Williams,Dereck Lively II,Derrick Jones Jr.,Josh Green,Tim Hardaway Jr.,Dwight Powell,Jaden Hardy,Seth Curry,Dante Exum,Olivier-Maxence Prosper,,,
111,DEN,2024,Jamal Murray,Kentavious Caldwell-Pope,Nikola Jokić,Aaron Gordon,Michael Porter Jr.,Reggie Jackson,Christian Braun,Peyton Watson,Zeke Nnaji,,,,,,
112,CLE,2024,Donovan Mitchell,Evan Mobley,Darius Garland,Max Strus,Jarrett Allen,Caris LeVert,Georges Niang,Isaac Okoro,Tristan Thompson,Dean Wade,,,,,
113,IND,2024,Bruce Brown,Tyrese Haliburton,Myles Turner,Bennedict Mathurin,Obi Toppin,Buddy Hield,Aaron Nesmith,Andrew Nembhard,Jalen Smith,,,,,,
114,WAS,2024,Kyle Kuzma,Jordan Poole,Tyus Jones,Deni Avdija,Daniel Gafford,Bilal Coulibaly,Delon Wright,Landry Shamet,Johnny Davis,Mike Muscala,Danilo Gallinari,Ryan Rollins,Anthony Gill,Eugene Omoruyi,
115,MIA,2024,Tyler Herro,Jimmy Butler,Bam Adebayo,Kyle Lowry,Haywood Highsmith,Duncan Robinson,Josh Richardson,Jaime Jaquez Jr.,Thomas Bryant,,,,,,
116,NYK,2024,Jalen Brunson,Julius Randle,Josh Hart,Quentin Grimes,Mitchell Robinson,Immanuel Quickley,Isaiah Hartenstein,Donte DiVincenzo,Miles McBride,,,,,,
117,MIL,2024,Damian Lillard,Giannis Antetokounmpo,Brook Lopez,Malik Beasley,Khris Middleton,Pat Connaughton,Jae Crowder,Bobby Portis,MarJon Beauchamp,Cameron Payne,,,,,
118,GSW,2024,Klay Thompson,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,Chris Paul,Gary Payton II,Jonathan Kuminga,Dario Šarić,Moses Moody,,,,,
119,OKC,2024,Cason Wallace,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Isaiah Joe,Aaron Wiggins,Jaylin Williams,Vasilije Micić,Ousmane Dieng,,,,,
120,MEM,2024,Desmond Bane,Marcus Smart,Jaren Jackson Jr.,David Roddy,Ziaire Williams,Luke Kennard,Xavier Tillman Sr.,Jacob Gilyard,John Konchar,Vince Williams Jr.,,,,,
121,POR,2024,Shaedon Sharpe,Malcolm Brogdon,Jerami Grant,Deandre Ayton,Matisse Thybulle,Toumani Camara,Robert Williams,Skylar Mays,Jabari Walker,,,,,,
122,BOS,2024,Jayson Tatum,Jrue Holiday,Jaylen Brown,Al Horford,Kristaps Porziņģis,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,,,,,,
123,BRK,2024,Mikal Bridges,Cam Thomas,Royce O'Neale,Dorian Finney-Smith,Spencer Dinwiddie,Lonnie Walker IV,Day'Ron Sharpe,Dennis Smith Jr.,Trendon Watford,Armoni Brooks,Jalen Wilson,,,,
124,CHI,2024,DeMar DeRozan,Zach LaVine,Coby White,Nikola Vučević,Torrey Craig,Patrick Williams,Jevon Carter,Andre Drummond,Alex Caruso,Terry Taylor,Dalen Terry,Onuralp Bitim,Julian Phillips,,
125,DEN,2024,Aaron Gordon,Nikola Jokić,Michael Porter Jr.,Kentavious Caldwell-Pope,Jamal Murray,Reggie Jackson,Peyton Watson,Christian Braun,DeAndre Jordan,Collin Gillespie,Julian Strawther,Zeke Nnaji,Jalen Pickett,Hunter Tyson,
126,SAC,2024,Keegan Murray,Harrison Barnes,Domantas Sabonis,Davion Mitchell,Kevin Huerter,Chris Duarte,Malik Monk,Colby Jones,JaVale McGee,Sasha Vezenkov,Alex Len,Jordan Ford,Kessler Edwards,Keon Ellis,
