,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,won,PER_Combined,PER_Combined_opp
10,265.0,38.0,78.0,0.487,15.0,38.0,0.395,25.0,34.0,0.735,4.0,38.0,42.0,25.0,12.0,9.0,22.0,23.0,0.624,0.583,0.487,0.436,9.5,74.5,45.2,65.8,10.8,14.3,19.1,100.0,104.6,101.9,8.0,17.0,1.0,4.0,6.0,0.8,7.0,9.0,1.0,2.0,9.0,9.0,8.0,3.0,1.0,7.0,6.0,25.0,14.0,1.0,1.0,0.857,3.0,20.6,41.9,28.0,39.7,4.3,9.6,37.5,29.5,216.0,106.0,PHO,116,0,42.0,92.0,0.457,8.0,29.0,0.276,21.0,30.0,0.7,13.0,38.0,51.0,27.0,9.0,1.0,22.0,29.0,0.537,0.5,0.315,0.326,25.5,90.5,54.8,64.3,8.1,2.5,17.3,100.0,101.9,104.6,10.0,28.0,1.0,2.0,9.0,1.0,7.0,9.0,1.0,3.0,9.0,12.0,8.0,2.0,1.0,8.0,6.0,29.0,7.0,1.127,1.25,1.0,1.0,16.0,29.9,17.6,37.0,4.7,3.3,25.8,41.8,216.0,109.0,LAC,113,1,2025,True,79.99999999999999,88.0
11,265.0,42.0,92.0,0.457,8.0,29.0,0.276,21.0,30.0,0.7,13.0,38.0,51.0,27.0,9.0,1.0,22.0,29.0,0.537,0.5,0.315,0.326,25.5,90.5,54.8,64.3,8.1,2.5,17.3,100.0,101.9,104.6,10.0,28.0,1.0,2.0,9.0,1.0,7.0,9.0,1.0,3.0,9.0,12.0,8.0,2.0,1.0,8.0,6.0,29.0,7.0,1.127,1.25,1.0,1.0,16.0,29.9,17.6,37.0,4.7,3.3,25.8,41.8,216.0,109.0,LAC,113,1,38.0,78.0,0.487,15.0,38.0,0.395,25.0,34.0,0.735,4.0,38.0,42.0,25.0,12.0,9.0,22.0,23.0,0.624,0.583,0.487,0.436,9.5,74.5,45.2,65.8,10.8,14.3,19.1,100.0,104.6,101.9,8.0,17.0,1.0,4.0,6.0,0.8,7.0,9.0,1.0,2.0,9.0,9.0,8.0,3.0,1.0,7.0,6.0,25.0,14.0,1.0,1.0,0.857,3.0,20.6,41.9,28.0,39.7,4.3,9.6,37.5,29.5,216.0,106.0,PHO,116,0,2025,False,88.0,79.99999999999999
12,240.0,41.0,96.0,0.427,18.0,49.0,0.367,16.0,22.0,0.727,18.0,39.0,57.0,28.0,8.0,8.0,14.0,21.0,0.549,0.521,0.51,0.229,36.0,81.3,58.2,68.3,8.3,16.7,11.7,100.0,120.7,100.9,12.0,24.0,0.75,6.0,9.0,0.667,5.0,6.0,1.0,4.0,10.0,14.0,6.0,2.0,2.0,2.0,3.0,33.0,42.0,1.0,1.0,1.0,1.0,16.8,37.6,25.8,51.9,4.4,17.5,66.7,34.2,178.0,113.0,ORL,116,0,32.0,82.0,0.39,11.0,34.0,0.324,22.0,29.0,0.759,9.0,32.0,41.0,24.0,5.0,8.0,11.0,19.0,0.512,0.457,0.415,0.354,18.8,64.0,41.8,75.0,5.2,17.0,10.4,100.0,100.9,120.7,7.0,15.0,1.0,2.0,7.0,1.0,7.0,10.0,1.0,3.0,6.0,6.0,5.0,2.0,2.0,3.0,4.0,19.0,13.0,1.215,1.25,1.0,2.0,16.0,18.0,12.8,34.1,8.0,16.3,50.0,31.2,200.0,128.0,MIA,97,1,2025,True,87.0,79.70000000000002
13,240.0,42.0,83.0,0.506,9.0,31.0,0.29,22.0,25.0,0.88,7.0,32.0,39.0,32.0,10.0,8.0,15.0,23.0,0.612,0.56,0.373,0.301,21.2,72.7,50.6,76.2,10.1,14.5,13.8,100.0,116.6,110.5,8.0,18.0,0.875,3.0,9.0,0.667,7.0,9.0,1.0,3.0,9.0,9.0,9.0,3.0,4.0,4.0,4.0,20.0,20.0,1.136,0.875,1.0,1.125,22.9,34.6,19.8,58.6,5.2,13.9,53.2,46.4,152.0,122.0,IND,115,0,38.0,88.0,0.432,9.0,33.0,0.273,24.0,28.0,0.857,12.0,26.0,38.0,22.0,6.0,2.0,14.0,21.0,0.543,0.483,0.375,0.318,27.3,78.8,49.4,57.9,6.1,3.8,12.2,100.0,110.5,116.6,10.0,23.0,1.0,4.0,7.0,0.571,7.0,9.0,1.0,4.0,9.0,13.0,8.0,2.0,1.0,2.0,3.0,28.0,9.0,1.0,1.0,0.778,1.5,14.5,46.7,27.0,68.1,6.4,5.4,50.0,31.8,205.0,123.0,DET,109,1,2025,True,70.6,76.40000000000002
14,240.0,42.0,86.0,0.488,10.0,34.0,0.294,17.0,25.0,0.68,9.0,38.0,47.0,26.0,4.0,2.0,21.0,16.0,0.572,0.547,0.395,0.291,20.5,84.4,52.8,61.9,3.7,3.3,17.8,100.0,102.7,113.8,10.0,17.0,1.0,5.0,8.0,1.0,4.0,7.0,1.0,3.0,9.0,11.0,6.0,1.0,1.0,7.0,4.0,27.0,8.0,1.5,1.5,1.0,2.0,18.9,45.4,23.0,40.2,25.1,3.3,34.7,28.0,300.0,119.0,CHI,111,0,45.0,97.0,0.464,14.0,37.0,0.378,19.0,21.0,0.905,7.0,35.0,42.0,29.0,15.0,10.0,12.0,17.0,0.579,0.536,0.381,0.216,15.6,79.5,47.2,64.4,13.9,19.2,10.1,100.0,113.8,102.7,13.0,23.0,1.0,5.0,11.0,0.667,6.0,7.0,1.0,3.0,8.0,8.0,10.0,4.0,3.0,3.0,4.0,33.0,18.0,1.0,1.0,1.0,1.333,100.0,29.1,53.9,41.5,7.0,92.3,25.4,100.0,231.0,115.0,NOP,123,1,2025,False,72.89999999999999,79.2
15,240.0,45.0,97.0,0.464,14.0,37.0,0.378,19.0,21.0,0.905,7.0,35.0,42.0,29.0,15.0,10.0,12.0,17.0,0.579,0.536,0.381,0.216,15.6,79.5,47.2,64.4,13.9,19.2,10.1,100.0,113.8,102.7,13.0,23.0,1.0,5.0,11.0,0.667,6.0,7.0,1.0,3.0,8.0,8.0,10.0,4.0,3.0,3.0,4.0,33.0,18.0,1.0,1.0,1.0,1.333,100.0,29.1,53.9,41.5,7.0,92.3,25.4,100.0,231.0,115.0,NOP,123,1,42.0,86.0,0.488,10.0,34.0,0.294,17.0,25.0,0.68,9.0,38.0,47.0,26.0,4.0,2.0,21.0,16.0,0.572,0.547,0.395,0.291,20.5,84.4,52.8,61.9,3.7,3.3,17.8,100.0,102.7,113.8,10.0,17.0,1.0,5.0,8.0,1.0,4.0,7.0,1.0,3.0,9.0,11.0,6.0,1.0,1.0,7.0,4.0,27.0,8.0,1.5,1.5,1.0,2.0,18.9,45.4,23.0,40.2,25.1,3.3,34.7,28.0,300.0,119.0,CHI,111,0,2025,True,79.2,72.89999999999999
16,240.0,43.0,80.0,0.538,16.0,37.0,0.432,22.0,31.0,0.71,8.0,38.0,46.0,27.0,4.0,9.0,14.0,23.0,0.662,0.638,0.463,0.388,20.0,69.1,48.4,62.8,4.0,13.4,13.0,100.0,125.0,109.9,9.0,19.0,0.857,6.0,12.0,1.0,9.0,16.0,1.0,3.0,13.0,14.0,7.0,2.0,6.0,4.0,5.0,30.0,19.0,1.143,1.143,0.833,1.455,54.1,36.4,22.8,35.1,11.9,12.1,27.7,60.4,237.0,120.0,MIL,124,0,41.0,98.0,0.418,8.0,31.0,0.258,19.0,27.0,0.704,17.0,32.0,49.0,18.0,4.0,2.0,10.0,28.0,0.496,0.459,0.316,0.276,30.9,80.0,51.6,43.9,4.0,4.7,8.3,100.0,109.9,125.0,10.0,31.0,1.0,3.0,9.0,1.0,4.0,6.0,1.0,5.0,8.0,13.0,6.0,3.0,1.0,3.0,6.0,25.0,6.0,1.0,1.0,1.0,2.0,32.9,38.3,26.2,44.2,5.7,3.0,24.4,34.7,205.0,130.0,PHI,109,1,2025,True,101.7,65.1
17,240.0,41.0,98.0,0.418,8.0,31.0,0.258,19.0,27.0,0.704,17.0,32.0,49.0,18.0,4.0,2.0,10.0,28.0,0.496,0.459,0.316,0.276,30.9,80.0,51.6,43.9,4.0,4.7,8.3,100.0,109.9,125.0,10.0,31.0,1.0,3.0,9.0,1.0,4.0,6.0,1.0,5.0,8.0,13.0,6.0,3.0,1.0,3.0,6.0,25.0,6.0,1.0,1.0,1.0,2.0,32.9,38.3,26.2,44.2,5.7,3.0,24.4,34.7,205.0,130.0,PHI,109,1,43.0,80.0,0.538,16.0,37.0,0.432,22.0,31.0,0.71,8.0,38.0,46.0,27.0,4.0,9.0,14.0,23.0,0.662,0.638,0.463,0.388,20.0,69.1,48.4,62.8,4.0,13.4,13.0,100.0,125.0,109.9,9.0,19.0,0.857,6.0,12.0,1.0,9.0,16.0,1.0,3.0,13.0,14.0,7.0,2.0,6.0,4.0,5.0,30.0,19.0,1.143,1.143,0.833,1.455,54.1,36.4,22.8,35.1,11.9,12.1,27.7,60.4,237.0,120.0,MIL,124,0,2025,False,65.1,101.7
18,240.0,48.0,93.0,0.516,20.0,48.0,0.417,24.0,30.0,0.8,15.0,42.0,57.0,38.0,13.0,5.0,18.0,27.0,0.659,0.624,0.516,0.323,34.1,76.4,57.6,79.2,12.1,8.6,14.5,100.0,130.6,97.0,8.0,15.0,1.0,5.0,8.0,1.0,6.0,6.0,1.0,4.0,9.0,9.0,10.0,3.0,2.0,4.0,3.0,22.0,35.0,1.333,1.333,0.8,2.0,23.2,31.3,20.7,47.5,7.0,8.1,43.6,35.3,267.0,106.0,GSW,140,0,36.0,92.0,0.391,8.0,34.0,0.235,24.0,30.0,0.8,13.0,29.0,42.0,21.0,10.0,4.0,18.0,22.0,0.494,0.435,0.37,0.326,23.6,65.9,42.4,58.3,9.3,8.9,14.6,100.0,97.0,130.6,7.0,18.0,0.75,2.0,8.0,1.0,8.0,9.0,1.0,4.0,9.0,11.0,4.0,2.0,2.0,5.0,4.0,22.0,-3.0,0.75,0.75,0.583,2.0,26.7,31.7,17.2,69.0,3.6,8.5,33.3,35.8,219.0,140.0,POR,104,1,2025,True,92.7,64.5
19,240.0,36.0,92.0,0.391,8.0,34.0,0.235,24.0,30.0,0.8,13.0,29.0,42.0,21.0,10.0,4.0,18.0,22.0,0.494,0.435,0.37,0.326,23.6,65.9,42.4,58.3,9.3,8.9,14.6,100.0,97.0,130.6,7.0,18.0,0.75,2.0,8.0,1.0,8.0,9.0,1.0,4.0,9.0,11.0,4.0,2.0,2.0,5.0,4.0,22.0,-3.0,0.75,0.75,0.583,2.0,26.7,31.7,17.2,69.0,3.6,8.5,33.3,35.8,219.0,140.0,POR,104,1,48.0,93.0,0.516,20.0,48.0,0.417,24.0,30.0,0.8,15.0,42.0,57.0,38.0,13.0,5.0,18.0,27.0,0.659,0.624,0.516,0.323,34.1,76.4,57.6,79.2,12.1,8.6,14.5,100.0,130.6,97.0,8.0,15.0,1.0,5.0,8.0,1.0,6.0,6.0,1.0,4.0,9.0,9.0,10.0,3.0,2.0,4.0,3.0,22.0,35.0,1.333,1.333,0.8,2.0,23.2,31.3,20.7,47.5,7.0,8.1,43.6,35.3,267.0,106.0,GSW,140,0,2025,False,64.5,92.7
20,240.0,36.0,86.0,0.419,12.0,31.0,0.387,22.0,29.0,0.759,14.0,24.0,38.0,25.0,8.0,6.0,19.0,24.0,0.537,0.488,0.36,0.337,33.3,75.0,51.4,69.4,8.0,10.5,16.1,100.0,106.2,136.3,5.0,14.0,1.0,4.0,6.0,0.8,4.0,6.0,1.0,4.0,6.0,9.0,5.0,2.0,2.0,5.0,5.0,18.0,1.0,1.0,1.0,1.0,2.0,18.1,48.6,29.5,59.9,5.7,5.8,39.2,36.5,200.0,141.0,TOR,106,1,51.0,87.0,0.586,14.0,30.0,0.467,20.0,26.0,0.769,8.0,28.0,36.0,29.0,10.0,9.0,13.0,22.0,0.691,0.667,0.345,0.299,25.0,66.7,48.6,56.9,10.0,16.4,11.7,100.0,136.3,106.2,9.0,14.0,1.0,3.0,6.0,1.0,6.0,7.0,1.0,4.0,7.0,9.0,6.0,3.0,4.0,2.0,4.0,25.0,31.0,1.1,1.5,1.0,2.0,22.3,40.6,26.3,42.4,5.2,13.4,51.5,29.7,195.0,119.0,CLE,136,0,2025,False,72.7,123.20000000000002
21,240.0,43.0,91.0,0.473,17.0,45.0,0.378,23.0,32.0,0.719,13.0,28.0,41.0,28.0,7.0,5.0,13.0,35.0,0.6,0.566,0.495,0.352,27.1,66.7,45.6,65.1,6.8,8.5,11.0,100.0,121.8,119.9,10.0,20.0,1.0,5.0,10.0,1.0,8.0,9.0,1.0,4.0,5.0,5.0,10.0,3.0,2.0,3.0,6.0,27.0,11.0,1.33,1.5,1.0,2.0,27.1,30.0,18.1,55.5,6.4,7.2,22.5,34.2,258.0,125.0,MEM,126,0,40.0,85.0,0.471,10.0,26.0,0.385,34.0,45.0,0.756,14.0,35.0,49.0,21.0,7.0,9.0,17.0,24.0,0.592,0.529,0.306,0.529,33.3,72.9,54.4,52.5,6.8,19.6,14.0,100.0,119.9,121.8,9.0,18.0,0.857,4.0,7.0,0.6,13.0,14.0,1.0,6.0,8.0,14.0,7.0,2.0,5.0,4.0,5.0,35.0,16.0,1.136,0.857,0.714,1.0,23.2,27.0,25.2,50.3,7.5,17.6,53.2,31.1,225.0,130.0,UTA,124,1,2025,True,103.7,72.8
