Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Season Year
13,OG Anunoby,SF,27,NYK,8,288,14.0,.570,.489,.217,2.0,12.4,7.2,10.4,2.3,1.7,7.4,16.8,,0.4,0.3,0.6,.108,,-0.4,0.8,0.4,0.2,2025
14,Deni Avdija,SF,24,POR,10,267,11.9,.477,.368,.437,5.3,19.1,11.9,15.5,2.0,3.0,16.2,19.1,,-0.2,0.3,0.1,.021,,-2.7,0.2,-2.6,0.0,2025
15,Deandre Ayton,C,26,POR,10,301,16.9,.540,.095,.063,9.8,29.1,19.0,5.5,1.4,1.6,8.5,19.4,,0.2,0.3,0.6,.092,,-0.3,-1.7,-1.9,0.0,2025
16,Marvin Bagley III,PF,25,WAS,5,32,21.2,.550,.188,.438,22.5,29.6,26.0,5.3,0.0,2.8,13.6,28.1,,0.0,0.0,0.0,.062,,1.1,-4.1,-3.0,0.0,2025
17,Patrick Baldwin Jr.,SF,22,WAS,5,24,21.3,.607,.500,.000,4.3,13.2,8.7,7.5,1.9,3.8,0.0,23.7,,0.0,0.0,0.1,.109,,5.1,-0.1,5.1,0.0,2025
18,LaMelo Ball,PG,23,CHO,9,294,21.5,.585,.560,.215,3.3,13.7,8.4,35.1,2.2,1.0,15.8,37.2,,0.5,0.3,0.7,.117,,4.8,-0.1,4.7,0.5,2025
19,Lonzo Ball,PG,27,CHI,3,47,9.3,.500,.857,.000,0.0,17.8,8.7,31.0,0.0,1.8,17.6,14.9,,0.0,0.0,0.0,.042,,-1.7,0.2,-1.5,0.0,2025
20,Paolo Banchero,SF,22,ORL,5,182,24.8,.590,.330,.608,7.1,20.6,13.5,29.3,0.8,2.1,8.2,31.4,,0.5,0.3,0.8,.199,,5.4,0.1,5.6,0.4,2025
21,Desmond Bane,SG,26,MEM,5,132,19.7,.608,.444,.167,4.3,16.9,10.9,16.1,1.8,2.2,10.4,26.4,,0.2,0.2,0.4,.157,,2.7,-0.2,2.5,0.1,2025
22,Dalano Banton,SF,25,POR,8,74,32.9,.663,.308,.538,2.7,10.5,6.4,34.4,4.6,4.0,9.4,29.7,,0.3,0.1,0.4,.283,,9.8,4.5,14.3,0.3,2025
23,Dominick Barlow,SF,21,ATL,2,11,-2.7,.266,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,-0.107,,-8.5,-3.9,-12.4,0.0,2025
24,Harrison Barnes,SF,32,SAS,10,285,11.5,.618,.451,.239,6.8,6.6,6.7,7.7,0.5,0.6,11.3,13.5,,0.4,0.2,0.5,.092,,-0.3,-1.9,-2.2,0.0,2025
25,Scottie Barnes,SF,23,TOR,4,134,17.0,.527,.175,.365,8.2,18.2,13.1,26.2,2.9,1.3,18.0,27.0,,0.0,0.1,0.1,.030,,0.7,0.7,1.4,0.1,2025
26,RJ Barrett,SG,24,TOR,7,229,17.2,.528,.317,.261,2.9,16.2,9.4,31.4,1.7,0.4,12.7,32.2,,0.1,0.0,0.1,.030,,1.5,-2.0,-0.5,0.1,2025
27,Charles Bassey,C,24,SAS,5,16,20.9,1.042,.000,1.000,0.0,45.5,23.8,9.1,3.1,5.7,41.0,13.3,,0.0,0.0,0.1,.181,,0.2,4.8,5.0,0.0,2025
28,Jamison Battle,SF,23,TOR,9,133,10.5,.545,.761,.174,6.6,14.8,10.6,7.9,0.0,1.3,3.9,15.7,,0.2,0.0,0.2,.065,,-0.5,-2.6,-3.1,0.0,2025
29,Nicolas Batum,SF,36,LAC,10,183,10.2,.491,.686,.171,4.2,13.6,8.9,14.7,1.6,4.4,9.6,9.9,,0.2,0.3,0.4,.118,,-1.7,2.5,0.8,0.1,2025
30,Bradley Beal,SG,31,PHO,7,245,14.3,.570,.483,.146,1.9,8.9,5.6,16.8,2.0,2.2,8.7,18.9,,0.3,0.2,0.5,.100,,-0.6,0.5,-0.1,0.1,2025
31,Malik Beasley,SG,28,DET,10,263,8.1,.480,.647,.138,2.2,6.7,4.5,8.3,1.1,0.4,8.2,21.8,,-0.2,0.2,0.0,.003,,-3.1,-1.6,-4.7,-0.2,2025
32,MarJon Beauchamp,SF,24,MIL,7,25,6.5,.476,.429,.286,8.6,17.3,13.0,6.2,1.9,0.0,24.1,36.3,,-0.1,0.0,-0.1,-0.204,,-7.9,-3.7,-11.6,-0.1,2025
33,Reece Beekman,PG,23,GSW,2,4,43.0,1.000,.000,.000,26.0,0.0,12.9,38.0,12.0,0.0,0.0,10.4,,0.0,0.0,0.1,.621,,10.2,15.6,25.8,0.0,2025
34,Goga Bitadze,C,25,ORL,6,100,19.8,.613,.143,.179,15.0,24.6,19.6,16.1,1.4,6.5,14.2,15.0,,0.2,0.2,0.4,.192,,0.1,2.2,2.3,0.1,2025
35,Anthony Black,PG,21,ORL,10,248,9.4,.513,.277,.354,3.9,9.0,6.3,24.4,1.4,3.0,22.7,16.7,,-0.1,0.3,0.2,.039,,-4.3,0.3,-4.0,-0.1,2025
36,Bogdan Bogdanović,SG,32,ATL,1,28,6.2,.581,1.000,.333,0.0,7.9,3.9,9.0,0.0,7.0,22.5,13.1,,0.0,0.0,0.0,-0.018,,-3.3,-1.7,-5.0,0.0,2025
37,Adem Bona,PF,21,PHI,6,14,25.5,1.017,.000,.333,14.9,9.3,12.4,0.0,0.0,14.1,22.5,13.6,,0.1,0.0,0.1,.217,,2.7,2.1,4.9,0.0,2025
38,Devin Booker,SG,28,PHO,9,329,20.0,.576,.461,.390,4.2,8.2,6.3,29.8,1.2,0.8,8.6,26.8,,0.9,0.2,1.2,.170,,3.3,-1.2,2.1,0.3,2025
39,Brandon Boston Jr.,SG,23,NOP,7,179,18.5,.618,.354,.246,3.1,10.6,6.8,18.6,2.2,1.0,6.5,18.3,,0.5,0.0,0.5,.136,,1.9,-0.5,1.5,0.2,2025
40,Chris Boucher,PF,32,TOR,10,187,17.8,.588,.470,.265,5.3,20.5,12.7,4.7,1.3,3.8,5.1,21.2,,0.3,0.1,0.4,.105,,2.1,-1.4,0.7,0.1,2025
41,Malaki Branham,SG,21,SAS,9,147,16.8,.672,.424,.305,0.0,12.0,6.3,11.4,1.7,1.2,16.3,23.6,,0.2,0.2,0.3,.102,,1.8,-0.3,1.5,0.1,2025
42,Christian Braun,SG,23,DEN,9,318,15.6,.680,.337,.347,3.4,13.0,8.2,6.3,1.4,2.6,9.1,15.8,,0.7,0.2,0.9,.140,,1.2,-0.7,0.5,0.2,2025
43,Mikal Bridges,SF,28,NYK,8,298,14.0,.568,.514,.072,3.1,6.6,4.8,12.9,1.9,1.6,9.5,18.9,,0.3,0.2,0.5,.081,,0.2,-0.4,-0.2,0.1,2025
44,Miles Bridges,SF,26,CHO,8,244,12.6,.508,.441,.294,2.2,22.5,12.1,12.4,0.8,1.6,10.1,22.1,,0.1,0.2,0.3,.051,,-1.7,-0.9,-2.6,0.0,2025
45,Dillon Brooks,SG,29,HOU,9,285,9.6,.532,.484,.183,4.6,8.1,6.3,2.9,0.9,0.6,3.8,15.1,,0.3,0.2,0.6,.098,,-1.9,-0.7,-2.5,0.0,2025
46,Jaylen Brown,SF,28,BOS,6,216,18.8,.511,.346,.362,5.1,17.3,11.1,17.4,2.0,1.3,7.9,32.6,,0.2,0.3,0.5,.113,,-0.4,-1.3,-1.7,0.0,2025
47,Kobe Brown,PF,25,LAC,2,8,14.8,1.000,.000,.000,0.0,14.1,7.0,18.1,0.0,0.0,0.0,5.4,,0.0,0.0,0.0,.204,,2.3,1.6,3.9,0.0,2025
48,Jalen Brunson,PG,28,NYK,8,270,20.3,.561,.301,.268,1.7,6.8,4.3,29.3,0.8,0.0,7.1,30.4,,0.7,0.1,0.8,.144,,3.3,-2.2,1.1,0.2,2025
49,Thomas Bryant,C,27,MIA,7,89,15.5,.625,.524,.238,7.1,23.6,15.2,6.4,0.6,5.5,4.1,11.7,,0.2,0.1,0.3,.153,,-0.1,-0.2,-0.3,0.0,2025
50,Alec Burks,SG,33,MIA,5,91,15.2,.742,.700,.100,2.3,7.3,4.7,14.0,1.6,1.1,4.6,10.4,,0.3,0.0,0.3,.156,,2.0,0.9,3.0,0.1,2025
51,Jared Butler,SG,24,WAS,6,58,22.4,.516,.179,.321,1.8,9.1,5.4,50.0,4.0,1.6,5.9,23.8,,0.1,0.0,0.2,.143,,3.4,2.3,5.7,0.1,2025
52,Jimmy Butler,SF,35,MIA,8,244,19.9,.563,.144,.622,9.1,7.7,8.4,25.0,2.4,0.8,10.9,22.8,,0.6,0.2,0.8,.149,,1.8,-0.2,1.6,0.2,2025
53,Matas Buzelis,SF,20,CHI,9,77,5.4,.375,.458,.250,6.6,16.3,11.3,5.1,3.0,3.3,18.4,17.5,,-0.2,0.1,-0.1,-0.071,,-7.0,-0.3,-7.3,-0.1,2025
54,Jamal Cain,SF,25,NOP,7,75,8.4,.574,.550,.300,5.9,12.7,9.2,1.9,0.7,2.4,15.0,15.1,,0.0,0.0,0.0,.002,,-4.9,-2.5,-7.4,-0.1,2025
55,Kentavious Caldwell-Pope,SG,31,ORL,10,295,8.2,.465,.672,.209,1.8,6.7,4.2,8.5,2.8,2.2,6.4,11.3,,0.0,0.5,0.4,.072,,-4.6,2.1,-2.5,0.0,2025
56,Toumani Camara,PF,24,POR,10,305,10.9,.540,.438,.178,8.0,9.4,8.7,10.1,2.7,1.3,16.0,12.7,,0.1,0.2,0.4,.059,,-2.7,0.3,-2.4,0.0,2025
57,Vlatko Čančar,PF,27,DEN,1,2,6.1,,,,0.0,54.4,27.3,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.072,,-6.0,0.2,-5.9,0.0,2025
58,Clint Capela,C,30,ATL,11,250,17.9,.669,.000,.286,11.7,23.0,17.3,7.2,0.7,2.8,12.2,16.2,,0.6,0.1,0.7,.126,,0.2,-2.3,-2.1,0.0,2025
59,Carlton Carrington,PG,19,WAS,7,209,11.5,.545,.424,.271,0.5,17.6,9.0,24.4,2.0,0.9,15.4,15.2,,0.1,0.1,0.2,.049,,-3.9,0.2,-3.7,-0.1,2025
60,Jevon Carter,PG,29,CHI,4,21,9.0,.417,.667,.000,4.8,5.0,4.9,12.4,2.2,0.0,0.0,11.8,,0.0,0.0,0.0,.044,,-2.8,-0.1,-2.9,0.0,2025
61,Wendell Carter Jr.,C,25,ORL,6,158,15.7,.544,.421,.474,8.1,30.4,18.8,12.1,2.4,1.2,6.1,13.2,,0.3,0.3,0.6,.171,,-1.2,1.7,0.6,0.1,2025
62,D.J. Carton,SG,24,TOR,4,33,-2.6,.202,.429,.143,0.0,14.1,6.9,10.5,2.9,0.0,35.0,14.1,,-0.2,0.0,-0.2,-0.224,,-10.0,-1.3,-11.4,-0.1,2025
63,Alex Caruso,PG,30,OKC,9,173,8.5,.350,.558,.070,3.6,12.0,7.9,14.6,4.6,3.3,11.9,12.2,,-0.2,0.6,0.4,.101,,-6.1,5.3,-0.8,0.1,2025
64,Stephon Castle,PG,20,SAS,10,225,9.2,.449,.373,.289,3.0,8.8,6.0,16.6,2.0,1.2,9.7,20.0,,-0.1,0.2,0.1,.021,,-4.7,-0.5,-5.2,-0.2,2025
65,Colin Castleton,C,24,MEM,4,7,2.7,,,,0.0,14.5,7.6,0.0,0.0,14.1,,0.0,,0.0,0.0,0.0,.083,,-9.1,3.9,-5.2,0.0,2025
66,Julian Champagnie,SF,23,SAS,10,278,12.0,.590,.698,.058,4.1,16.1,10.4,9.2,1.2,1.6,12.8,15.8,,0.2,0.3,0.5,.081,,-0.3,-0.6,-0.9,0.1,2025
67,Justin Champagnie,SF,23,WAS,1,4,8.3,,,,25.7,26.3,26.0,29.6,0.0,0.0,,0.0,,0.0,0.0,0.0,.234,,-11.4,3.0,-8.4,0.0,2025
68,Ulrich Chomche,PF,19,TOR,1,5,16.5,1.000,.000,.000,0.0,23.2,11.3,0.0,0.0,0.0,0.0,8.1,,0.0,0.0,0.0,.127,,2.6,-1.5,1.1,0.0,2025
69,Max Christie,SG,21,LAL,9,129,7.0,.469,.500,.375,4.5,10.4,7.5,9.9,1.5,1.4,13.9,14.4,,0.0,0.1,0.0,.001,,-4.7,-0.8,-5.5,-0.1,2025
70,Sidy Cissoko,SF,20,SAS,5,13,19.7,.833,.333,.000,8.8,24.0,16.7,47.0,0.0,0.0,25.0,13.4,,0.1,0.0,0.1,.272,,2.7,3.4,6.1,0.0,2025
71,Brandon Clarke,PF,28,MEM,10,150,11.8,.532,.114,.250,4.5,14.9,10.0,5.1,2.8,0.7,5.8,14.0,,0.1,0.2,0.3,.108,,-3.2,0.9,-2.3,0.0,2025
72,Jordan Clarkson,SG,32,UTA,7,167,12.4,.506,.482,.341,2.6,13.7,8.2,25.2,1.4,0.5,14.1,28.1,,-0.1,0.1,-0.1,-0.014,,-1.2,-1.6,-2.8,0.0,2025
73,Nic Claxton,C,25,BRK,9,217,18.7,.646,.000,.451,9.1,31.3,19.7,16.2,1.4,5.1,11.6,14.0,,0.5,0.3,0.8,.183,,0.6,2.9,3.4,0.3,2025
74,Donovan Clingan,C,20,POR,10,136,15.5,.549,.094,.313,16.4,22.8,19.5,2.1,1.1,12.4,18.0,13.5,,0.1,0.2,0.3,.102,,-4.3,0.8,-3.5,-0.1,2025
75,Noah Clowney,PF,20,BRK,8,127,8.6,.438,.553,.213,7.3,17.8,12.3,4.5,1.6,4.0,7.2,19.2,,-0.1,0.2,0.0,.015,,-4.6,-1.0,-5.6,-0.1,2025
76,Amir Coffey,SG,27,LAC,10,229,12.6,.677,.459,.230,2.4,7.9,5.1,3.9,1.3,0.0,5.6,13.5,,0.4,0.2,0.7,.143,,-0.4,0.2,-0.2,0.1,2025
77,Isaiah Collier,PG,20,UTA,2,29,6.2,.298,.600,.400,0.0,21.5,10.9,27.0,1.6,3.1,7.8,18.1,,-0.1,0.0,-0.1,-0.091,,-7.0,-0.5,-7.5,0.0,2025
78,John Collins,PF,27,UTA,9,219,19.2,.594,.241,.241,9.3,22.8,16.1,21.2,1.9,2.9,16.7,27.0,,0.2,0.2,0.4,.088,,0.2,0.4,0.6,0.1,2025
79,Zach Collins,PF,27,SAS,10,140,17.0,.613,.405,.333,9.8,14.8,12.4,22.3,2.5,1.3,15.7,17.7,,0.3,0.2,0.5,.177,,0.8,1.6,2.4,0.2,2025
80,Mike Conley,PG,37,MIN,9,210,13.0,.489,.682,.227,4.1,8.9,6.6,26.8,2.3,1.2,11.0,16.9,,0.3,0.2,0.6,.128,,-0.7,0.9,0.2,0.1,2025
81,Pat Connaughton,SG,32,MIL,9,151,6.8,.441,.649,.162,2.9,13.6,8.2,13.9,0.6,0.6,11.2,12.9,,0.0,0.0,0.0,.000,,-3.9,-1.4,-5.3,-0.1,2025
82,Bilal Coulibaly,SF,20,WAS,7,240,14.4,.657,.368,.368,5.1,11.4,8.2,11.1,1.5,1.1,16.1,17.8,,0.3,0.0,0.3,.070,,-1.0,-1.5,-2.5,0.0,2025
83,Ricky Council IV,SG,23,PHI,6,52,9.8,.541,.429,.429,2.0,12.6,6.7,14.2,0.0,0.0,10.7,15.4,,0.1,0.0,0.0,.039,,-2.4,-2.6,-5.0,0.0,2025
84,Torrey Craig,SF,34,CHI,2,6,-6.8,.000,1.000,.000,0.0,34.8,17.1,0.0,0.0,0.0,0.0,6.9,,0.0,0.0,0.0,-0.125,,-15.9,-1.0,-17.0,0.0,2025
85,Yongxi Cui,SG,21,BRK,2,3,7.3,.568,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,,0.0,0.0,0.0,.069,,-2.8,-1.9,-4.7,0.0,2025
86,Cade Cunningham,PG,23,DET,10,361,17.3,.551,.293,.188,2.9,19.1,11.2,38.5,0.8,2.1,18.8,30.2,,0.1,0.4,0.5,.067,,1.5,-0.2,1.3,0.3,2025
87,Seth Curry,SG,34,CHO,8,154,10.4,.592,.575,.125,6.2,7.3,6.8,5.5,1.3,0.6,6.6,12.3,,0.2,0.1,0.3,.093,,-1.6,-0.8,-2.4,0.0,2025
88,Stephen Curry,PG,36,GSW,6,161,23.0,.631,.590,.289,0.6,16.5,8.6,33.9,3.6,1.2,19.0,29.9,,0.3,0.3,0.7,.202,,4.8,2.0,6.7,0.4,2025
89,Tristan Da Silva,SF,23,ORL,6,140,7.4,.498,.488,.116,2.3,10.9,6.4,10.7,0.0,0.7,6.2,14.7,,0.0,0.1,0.1,.044,,-3.1,-1.2,-4.2,-0.1,2025
90,Pacome Dadiet,SG,19,NYK,4,28,1.6,.417,.500,.000,0.0,16.5,8.2,4.4,0.0,0.0,14.3,11.1,,0.0,0.0,0.0,-0.052,,-7.1,-3.1,-10.2,-0.1,2025
91,Dyson Daniels,PG,21,ATL,9,290,13.6,.499,.330,.128,3.7,11.5,7.5,10.9,4.8,2.4,8.7,17.9,,-0.1,0.3,0.3,.044,,-3.0,1.8,-1.2,0.1,2025
92,Anthony Davis,PF,31,LAL,8,290,30.5,.646,.094,.575,7.2,27.7,17.6,13.9,1.8,4.9,9.1,32.5,,1.0,0.4,1.4,.231,,6.6,0.9,7.5,0.7,2025
93,Johnny Davis,SG,22,WAS,6,56,9.4,.559,.118,.118,5.5,13.2,9.3,5.2,0.8,0.0,5.3,13.7,,0.0,0.0,0.0,.034,,-4.5,-2.3,-6.8,-0.1,2025
94,JD Davison,PG,22,BOS,3,14,-9.8,.307,.500,.500,0.0,8.1,4.0,9.2,3.5,0.0,45.0,27.3,,-0.1,0.0,-0.1,-0.416,,-16.8,-2.9,-19.8,-0.1,2025
95,DeMar DeRozan,SG,35,SAC,9,340,20.4,.611,.151,.395,1.7,9.3,5.6,17.1,2.4,1.1,9.6,25.1,,0.8,0.4,1.1,.162,,1.6,0.1,1.7,0.3,2025
96,Moussa Diabaté,PF,23,CHO,9,119,12.4,.560,.000,.471,16.2,31.1,23.5,3.4,0.8,4.0,25.4,9.7,,0.0,0.1,0.2,.079,,-3.3,0.1,-3.2,0.0,2025
97,Gradey Dick,SG,21,TOR,10,318,15.5,.580,.458,.222,2.1,6.9,4.4,10.2,1.8,1.4,7.7,23.3,,0.5,0.0,0.5,.075,,1.2,-1.6,-0.4,0.1,2025
98,Ousmane Dieng,SF,21,OKC,9,113,14.7,.511,.605,.184,3.7,21.0,12.6,9.2,2.9,2.5,2.4,15.6,,0.1,0.4,0.4,.188,,-1.0,2.8,1.9,0.1,2025
99,Rob Dillingham,PG,20,MIN,4,19,24.7,.786,.143,.000,0.0,17.4,9.2,61.4,0.0,0.0,22.2,20.6,,0.1,0.0,0.1,.297,,5.4,0.2,5.6,0.0,2025
100,Spencer Dinwiddie,PG,31,DAL,8,146,6.8,.495,.676,.294,0.7,6.5,3.6,12.9,0.7,1.3,9.4,12.5,,0.0,0.1,0.2,.051,,-3.4,-0.8,-4.3,-0.1,2025
101,Donte DiVincenzo,SG,28,MIN,9,245,11.8,.525,.775,.157,2.5,11.2,7.1,19.6,2.4,1.1,15.2,19.9,,0.1,0.3,0.4,.072,,-1.4,0.6,-0.8,0.1,2025
102,Luka Dončić,PG,25,DAL,9,335,21.4,.531,.425,.318,1.3,21.4,11.4,34.7,1.7,0.9,9.6,34.7,,0.5,0.5,1.0,.146,,4.0,0.2,4.2,0.5,2025
103,Luguentz Dort,SG,25,OKC,9,235,14.0,.628,.603,.176,3.5,9.3,6.5,7.2,2.4,2.8,6.4,14.0,,0.4,0.6,1.0,.202,,-0.3,2.5,2.1,0.2,2025
104,Ayo Dosunmu,SG,25,CHI,10,284,10.3,.511,.465,.152,2.9,14.7,8.7,19.8,0.2,1.5,11.7,17.4,,0.1,0.1,0.2,.041,,-2.5,-1.7,-4.2,-0.2,2025
105,Jeff Dowtin,PG,27,PHI,3,7,4.5,.333,.000,.000,0.0,0.0,0.0,22.7,0.0,0.0,0.0,18.4,,0.0,0.0,0.0,-0.100,,-6.7,-4.4,-11.0,0.0,2025
106,PJ Dozier,SG,28,MIN,4,15,16.3,.694,1.000,1.000,8.2,14.7,11.6,16.7,3.3,0.0,0.0,8.3,,0.1,0.0,0.1,.252,,1.2,4.3,5.6,0.0,2025
107,Andre Drummond,C,31,PHI,8,212,13.9,.505,.067,.500,15.3,33.9,23.6,3.0,3.3,1.9,19.7,18.5,,-0.2,0.3,0.1,.031,,-3.9,-1.1,-5.0,-0.2,2025
108,Chris Duarte,SG,27,CHI,4,16,28.7,.851,1.000,1.200,0.0,13.0,6.4,18.6,0.0,0.0,0.0,19.7,,0.1,0.0,0.1,.346,,12.1,1.6,13.7,0.1,2025
109,Alex Ducas,SG,24,OKC,4,7,-15.4,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,-0.1,0.0,-0.1,-0.388,,-18.0,-6.3,-24.3,0.0,2025
110,David Duke Jr.,SG,25,SAS,1,8,3.3,.307,.250,.500,0.0,0.0,0.0,36.6,0.0,0.0,0.0,26.5,,0.0,0.0,0.0,-0.100,,-7.3,-4.6,-11.8,0.0,2025
111,Kris Dunn,PG,30,LAC,10,210,13.5,.675,.511,.128,4.7,16.2,10.4,15.3,2.4,0.9,16.8,12.3,,0.3,0.3,0.7,.151,,-1.1,2.4,1.3,0.2,2025
112,Ryan Dunn,SF,22,PHO,8,127,11.6,.602,.750,.045,2.7,12.2,7.7,8.3,1.2,1.4,6.3,16.9,,0.1,0.1,0.2,.090,,-1.2,-0.8,-2.0,0.0,2025
113,Kevin Durant,SF,36,PHO,9,349,21.2,.670,.348,.342,0.7,16.9,9.2,15.6,1.0,3.3,13.9,27.6,,0.7,0.4,1.0,.144,,3.3,0.0,3.3,0.5,2025
114,Jalen Duren,C,21,DET,9,210,19.8,.796,.000,.583,15.9,30.3,23.3,15.0,0.7,5.0,26.1,12.5,,0.5,0.3,0.9,.201,,0.7,2.6,3.3,0.3,2025
115,Tari Eason,SF,23,HOU,9,195,22.7,.619,.333,.173,9.9,13.0,11.4,8.7,4.3,4.2,8.0,18.5,,0.5,0.4,0.9,.226,,4.3,3.8,8.1,0.5,2025
116,Zach Edey,C,22,MEM,10,193,20.3,.659,.080,.280,16.9,19.9,18.5,4.6,1.2,4.6,14.3,20.6,,0.4,0.3,0.7,.170,,0.4,-0.8,-0.5,0.1,2025
117,Anthony Edwards,SG,23,MIN,9,325,20.9,.640,.562,.232,1.5,16.6,9.5,16.9,1.1,1.3,12.8,31.3,,0.6,0.4,0.9,.135,,5.1,-1.1,4.0,0.5,2025
118,Kessler Edwards,SF,24,DAL,3,7,-22.2,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,18.4,,-0.1,0.0,-0.1,-0.477,,-23.2,-7.6,-30.8,-0.1,2025
119,Keon Ellis,SG,25,SAC,8,160,14.4,.651,.625,.344,6.6,5.6,6.1,7.3,3.6,4.2,9.8,11.1,,0.3,0.3,0.6,.166,,-0.1,3.0,2.9,0.2,2025
120,Drew Eubanks,C,27,UTA,6,84,13.0,.603,.188,.438,11.5,19.8,15.7,14.7,0.6,4.3,23.9,12.3,,0.1,0.1,0.1,.072,,-2.4,0.1,-2.3,0.0,2025
121,Bruno Fernando,C,26,TOR,7,52,13.8,.506,.000,.222,21.2,22.3,21.7,18.0,0.9,6.9,23.3,20.1,,0.0,0.0,0.0,.041,,-5.6,0.7,-4.9,0.0,2025
122,Kyle Filipowski,C,21,UTA,8,118,10.1,.575,.515,.182,3.6,22.9,13.4,18.4,0.8,0.0,18.3,15.2,,0.0,0.1,0.1,.025,,-2.8,-0.2,-3.1,0.0,2025
123,Dorian Finney-Smith,PF,31,BRK,10,289,11.3,.560,.655,.143,8.4,12.6,10.4,8.0,2.1,2.1,12.7,15.6,,0.2,0.3,0.5,.081,,-1.7,0.2,-1.4,0.0,2025
124,Adam Flagler,SG,25,OKC,4,7,37.2,1.500,1.000,.000,0.0,14.2,7.2,0.0,6.7,0.0,0.0,12.0,,0.0,0.0,0.1,.418,,9.6,11.6,21.2,0.0,2025
125,Simone Fontecchio,SF,29,DET,10,188,8.8,.523,.660,.380,5.5,16.3,11.1,4.3,0.5,0.5,9.3,14.7,,0.1,0.2,0.2,.062,,-2.7,-1.0,-3.7,-0.1,2025
126,De'Aaron Fox,PG,27,SAC,9,333,17.1,.588,.364,.315,3.2,10.8,7.1,19.5,2.5,0.0,16.5,29.2,,0.2,0.4,0.6,.079,,-0.4,-1.2,-1.6,0.0,2025
127,Enrique Freeman,PF,24,IND,3,25,6.4,.694,.500,1.000,4.7,0.0,2.3,0.0,1.9,3.7,25.8,6.8,,0.0,0.0,0.0,.034,,-4.8,-1.4,-6.2,0.0,2025
128,Johnny Furphy,SG,20,IND,2,9,-15.3,.000,.500,.000,0.0,12.1,6.3,0.0,0.0,0.0,0.0,19.5,,-0.1,0.0,-0.1,-0.483,,-17.8,-9.3,-27.2,-0.1,2025
