,Team,Season Year,Player 01,Player 02,Player 03,Player 04,Player 05,Player 06,Player 07,Player 08,Player 09,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
23,SAS,2024,Devin Vassell,Zach Collins,Keldon Johnson,Jeremy Sochan,Victor Wembanyama,Tre Jones,Cedi Osman,Malaki Branham,Charles Bassey,Doug McDermott,,,,,
24,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Nickeil Alexander-Walker,Kyle Anderson,Naz Reid,Shake Milton,Troy Brown Jr.,,,,,,
25,TOR,2024,Scottie Barnes,Pascal Siakam,OG Anunoby,Dennis Schröder,Jakob Poeltl,Gary Trent Jr.,Precious Achiuwa,Jalen McDaniels,Malachi Flynn,Gradey Dick,,,,,
26,SAC,2024,Harrison Barnes,De'Aaron Fox,Domantas Sabonis,Keegan Murray,Kevin Huerter,Malik Monk,Sasha Vezenkov,Chris Duarte,Davion Mitchell,JaVale McGee,Alex Len,Kessler Edwards,Keon Ellis,Jordan Ford,Colby Jones
27,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Walker Kessler,Talen Horton-Tucker,Collin Sexton,Ochai Agbaji,Keyonte George,Kelly Olynyk,Kris Dunn,Simone Fontecchio,Luka Šamanić,Taylor Hendricks,Brice Sensabaugh,Omer Yurtseven
28,PHO,2024,Kevin Durant,Grayson Allen,Josh Okogie,Eric Gordon,Jusuf Nurkić,Jordan Goodwin,Drew Eubanks,Yuta Watanabe,Nassir Little,,,,,,
29,LAL,2024,Anthony Davis,LeBron James,D'Angelo Russell,Austin Reaves,Taurean Prince,Gabe Vincent,Christian Wood,Rui Hachimura,Cam Reddish,Jaxson Hayes,,,,,
30,PHI,2024,Tyrese Maxey,Tobias Harris,Joel Embiid,P.J. Tucker,De'Anthony Melton,Kelly Oubre Jr.,Danny Green,Patrick Beverley,Paul Reed,Jaden Springer,,,,,
31,MIL,2024,Damian Lillard,Giannis Antetokounmpo,Malik Beasley,Brook Lopez,Khris Middleton,Jae Crowder,Pat Connaughton,Bobby Portis,MarJon Beauchamp,Cameron Payne,,,,,
32,NYK,2024,Mitchell Robinson,Julius Randle,RJ Barrett,Jalen Brunson,Quentin Grimes,Immanuel Quickley,Josh Hart,Donte DiVincenzo,Isaiah Hartenstein,,,,,,
33,ATL,2024,Trae Young,Dejounte Murray,De'Andre Hunter,Clint Capela,Saddiq Bey,Jalen Johnson,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,,,,,,
34,MIA,2024,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Kevin Love,Duncan Robinson,Dru Smith,Jaime Jaquez Jr.,Thomas Bryant,Jamal Cain,,,,,
35,BOS,2024,Jayson Tatum,Jrue Holiday,Derrick White,Jaylen Brown,Kristaps Porziņģis,Al Horford,Oshae Brissett,Payton Pritchard,Sam Hauser,,,,,,
36,TOR,2024,Pascal Siakam,Scottie Barnes,Dennis Schröder,OG Anunoby,Jakob Poeltl,Gary Trent Jr.,Precious Achiuwa,Jalen McDaniels,Chris Boucher,Gradey Dick,Malachi Flynn,,,,
37,CHI,2024,DeMar DeRozan,Nikola Vučević,Coby White,Zach LaVine,Patrick Williams,Alex Caruso,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
38,DET,2024,Isaiah Stewart,Jalen Duren,Ausar Thompson,Killian Hayes,Cade Cunningham,Alec Burks,Jaden Ivey,Marvin Bagley III,Joe Harris,Marcus Sasser,,,,,
39,CHO,2024,Terry Rozier,Gordon Hayward,LaMelo Ball,P.J. Washington,Mark Williams,Brandon Miller,JT Thor,Nick Richards,Théo Maledon,,,,,,
40,OKC,2024,Luguentz Dort,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Isaiah Joe,Cason Wallace,Aaron Wiggins,Ousmane Dieng,Vasilije Micić,,,,,
41,CLE,2024,Donovan Mitchell,Max Strus,Evan Mobley,Isaac Okoro,Dean Wade,Caris LeVert,Georges Niang,Damian Jones,Ty Jerome,,,,,,
42,BRK,2024,Spencer Dinwiddie,Mikal Bridges,Cam Thomas,Ben Simmons,Dorian Finney-Smith,Royce O'Neale,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,,,,,,
43,DAL,2024,Luka Dončić,Kyrie Irving,Grant Williams,Dereck Lively II,Derrick Jones Jr.,Tim Hardaway Jr.,Josh Green,Maxi Kleber,Dwight Powell,Seth Curry,Dante Exum,,,,
44,DEN,2024,Nikola Jokić,Kentavious Caldwell-Pope,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Reggie Jackson,Christian Braun,Peyton Watson,Zeke Nnaji,Julian Strawther,,,,,
45,MEM,2024,Xavier Tillman Sr.,Desmond Bane,Ziaire Williams,Marcus Smart,Jaren Jackson Jr.,John Konchar,Derrick Rose,Jake LaRavia,David Roddy,,,,,,
46,ORL,2024,Franz Wagner,Paolo Banchero,Jalen Suggs,Wendell Carter Jr.,Markelle Fultz,Cole Anthony,Moritz Wagner,Gary Harris,Joe Ingles,Jonathan Isaac,,,,,
47,POR,2024,Shaedon Sharpe,Jerami Grant,Deandre Ayton,Scoot Henderson,Matisse Thybulle,Malcolm Brogdon,Toumani Camara,Robert Williams,Jabari Walker,Skylar Mays,,,,,
48,GSW,2024,Stephen Curry,Chris Paul,Klay Thompson,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Moses Moody,Gary Payton II,Dario Šarić,Trayce Jackson-Davis,,,,,
49,SAC,2024,Keegan Murray,De'Aaron Fox,Domantas Sabonis,Harrison Barnes,Kevin Huerter,Chris Duarte,Malik Monk,Sasha Vezenkov,JaVale McGee,Davion Mitchell,,,,,
50,HOU,2024,Fred VanVleet,Alperen Şengün,Dillon Brooks,Jalen Green,Jabari Smith Jr.,Jeff Green,Jae'Sean Tate,Amen Thompson,Reggie Bullock,Boban Marjanović,,,,,
51,SAS,2024,Devin Vassell,Zach Collins,Keldon Johnson,Victor Wembanyama,Jeremy Sochan,Tre Jones,Cedi Osman,Doug McDermott,Malaki Branham,Charles Bassey,,,,,
52,LAC,2024,Paul George,Russell Westbrook,Kawhi Leonard,Robert Covington,Ivica Zubac,Nicolas Batum,Norman Powell,Bones Hyland,Mason Plumlee,,,,,,
53,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Talen Horton-Tucker,Walker Kessler,Kelly Olynyk,Collin Sexton,Kris Dunn,Ochai Agbaji,Keyonte George,,,,,
54,IND,2024,Bruce Brown,Tyrese Haliburton,Myles Turner,Obi Toppin,Bennedict Mathurin,Aaron Nesmith,Andrew Nembhard,T.J. McConnell,Buddy Hield,Jalen Smith,,,,,
55,CLE,2024,Caris LeVert,Max Strus,Dean Wade,Isaac Okoro,Evan Mobley,Georges Niang,Tristan Thompson,Emoni Bates,Sam Merrill,Damian Jones,Craig Porter Jr.,,,,
56,CHI,2024,Zach LaVine,Nikola Vučević,DeMar DeRozan,Coby White,Patrick Williams,Torrey Craig,Alex Caruso,Ayo Dosunmu,Andre Drummond,Jevon Carter,Dalen Terry,Julian Phillips,Terry Taylor,,
57,DET,2024,Cade Cunningham,Isaiah Stewart,Jalen Duren,Ausar Thompson,Killian Hayes,Alec Burks,Jaden Ivey,Marvin Bagley III,Joe Harris,Marcus Sasser,,,,,
58,MIA,2024,Tyler Herro,Bam Adebayo,Kyle Lowry,Nikola Jović,Jaime Jaquez Jr.,Duncan Robinson,Jamal Cain,Dru Smith,Thomas Bryant,Orlando Robinson,Cole Swider,R.J. Hampton,,,
59,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Nickeil Alexander-Walker,Naz Reid,Kyle Anderson,Shake Milton,Troy Brown Jr.,Jordan McLaughlin,Leonard Miller,Josh Minott,,,
60,NYK,2024,Julius Randle,Jalen Brunson,RJ Barrett,Mitchell Robinson,Quentin Grimes,Josh Hart,Donte DiVincenzo,Immanuel Quickley,Isaiah Hartenstein,Miles McBride,Jericho Sims,DaQuan Jeffries,Dylan Windler,,
61,NOP,2024,Brandon Ingram,CJ McCollum,Zion Williamson,Herbert Jones,Jonas Valančiūnas,Matt Ryan,Dyson Daniels,Jordan Hawkins,Larry Nance Jr.,Kira Lewis Jr.,Cody Zeller,E.J. Liddell,,,
62,UTA,2024,Lauri Markkanen,John Collins,Walker Kessler,Jordan Clarkson,Talen Horton-Tucker,Keyonte George,Collin Sexton,Kris Dunn,Simone Fontecchio,Kelly Olynyk,Ochai Agbaji,Luka Šamanić,Omer Yurtseven,,
63,PHO,2024,Grayson Allen,Kevin Durant,Eric Gordon,Josh Okogie,Jusuf Nurkić,Jordan Goodwin,Nassir Little,Yuta Watanabe,Drew Eubanks,Udoka Azubuike,Keita Bates-Diop,Saben Lee,Bol Bol,Chimezie Metu,
64,PHI,2024,Tyrese Maxey,Tobias Harris,Joel Embiid,De'Anthony Melton,P.J. Tucker,Kelly Oubre Jr.,Patrick Beverley,Paul Reed,Danuel House Jr.,Danny Green,,,,,
65,TOR,2024,Scottie Barnes,Pascal Siakam,Dennis Schröder,Gary Trent Jr.,Jakob Poeltl,Gradey Dick,Precious Achiuwa,Malachi Flynn,Chris Boucher,Jalen McDaniels,,,,,
66,MEM,2024,Desmond Bane,Ziaire Williams,Marcus Smart,Jaren Jackson Jr.,Xavier Tillman Sr.,David Roddy,John Konchar,Derrick Rose,Jake LaRavia,Kenneth Lofton Jr.,,,,,
67,WAS,2024,Kyle Kuzma,Jordan Poole,Daniel Gafford,Tyus Jones,Deni Avdija,Corey Kispert,Delon Wright,Bilal Coulibaly,Mike Muscala,Danilo Gallinari,,,,,
68,GSW,2024,Stephen Curry,Klay Thompson,Andrew Wiggins,Kevon Looney,Draymond Green,Chris Paul,Dario Šarić,Jonathan Kuminga,Gary Payton II,Moses Moody,,,,,
69,HOU,2024,Jalen Green,Jabari Smith Jr.,Dillon Brooks,Alperen Şengün,Fred VanVleet,Jae'Sean Tate,Jeff Green,Amen Thompson,Reggie Bullock,,,,,,
70,SAS,2024,Devin Vassell,Victor Wembanyama,Zach Collins,Keldon Johnson,Jeremy Sochan,Malaki Branham,Tre Jones,Cedi Osman,Charles Bassey,Doug McDermott,Julian Champagnie,Blake Wesley,Sandro Mamukelashvili,Dominick Barlow,
71,LAC,2024,Kawhi Leonard,Paul George,Russell Westbrook,Robert Covington,Ivica Zubac,Bones Hyland,Mason Plumlee,Norman Powell,KJ Martin,Nicolas Batum,Amir Coffey,Kobe Brown,Moussa Diabaté,,
72,ATL,2024,Trae Young,Dejounte Murray,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,Bruno Fernando,Trent Forrest,Kobe Bufkin,Mouhamed Gueye,,
73,MIL,2024,Malik Beasley,Giannis Antetokounmpo,Damian Lillard,Jae Crowder,Brook Lopez,Pat Connaughton,Bobby Portis,MarJon Beauchamp,Cameron Payne,Thanasis Antetokounmpo,Andre Jackson Jr.,A.J. Green,Robin Lopez,TyTy Washington Jr.,
74,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Michael Porter Jr.,Aaron Gordon,Reggie Jackson,Peyton Watson,Christian Braun,Zeke Nnaji,Julian Strawther,Collin Gillespie,Braxton Key,Justin Holiday,Hunter Tyson,
75,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Cason Wallace,Ousmane Dieng,Isaiah Joe,Aleksej Pokusevski,Vasilije Micić,Aaron Wiggins,Tre Mann,Keyontae Johnson,Olivier Sarr,
76,POR,2024,Shaedon Sharpe,Jerami Grant,Scoot Henderson,Deandre Ayton,Matisse Thybulle,Toumani Camara,Malcolm Brogdon,Robert Williams,Jabari Walker,Kris Murray,Skylar Mays,Rayan Rupert,,,
77,PHI,2024,Tobias Harris,Tyrese Maxey,De'Anthony Melton,Joel Embiid,P.J. Tucker,Kelly Oubre Jr.,Patrick Beverley,Paul Reed,Danuel House Jr.,Jaden Springer,Furkan Korkmaz,Filip Petrušev,Mo Bamba,,
78,LAL,2024,Anthony Davis,Taurean Prince,D'Angelo Russell,LeBron James,Austin Reaves,Gabe Vincent,Rui Hachimura,Christian Wood,Jaxson Hayes,Cam Reddish,,,,,
79,SAC,2024,Harrison Barnes,Kevin Huerter,De'Aaron Fox,Domantas Sabonis,Keegan Murray,Malik Monk,Sasha Vezenkov,Davion Mitchell,JaVale McGee,Chris Duarte,,,,,
80,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Naz Reid,Shake Milton,Nickeil Alexander-Walker,Luka Garza,Josh Minott,Jordan McLaughlin,Daishen Nix,,
81,ATL,2024,Dejounte Murray,Trae Young,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Onyeka Okongwu,Bogdan Bogdanović,AJ Griffin,Kobe Bufkin,Bruno Fernando,Mouhamed Gueye,,,
82,BRK,2024,Cam Thomas,Mikal Bridges,Ben Simmons,Dorian Finney-Smith,Spencer Dinwiddie,Royce O'Neale,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,,,,,,
83,CHO,2024,Terry Rozier,P.J. Washington,Gordon Hayward,Mark Williams,LaMelo Ball,Brandon Miller,Théo Maledon,JT Thor,Nick Richards,,,,,,
84,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Talen Horton-Tucker,Walker Kessler,Keyonte George,Kelly Olynyk,Collin Sexton,Ochai Agbaji,Kris Dunn,,,,,
85,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Aaron Gordon,Michael Porter Jr.,Christian Braun,Reggie Jackson,Peyton Watson,Zeke Nnaji,Julian Strawther,,,,,
86,CHI,2024,Zach LaVine,DeMar DeRozan,Nikola Vučević,Coby White,Patrick Williams,Alex Caruso,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
87,IND,2024,Bruce Brown,Tyrese Haliburton,Myles Turner,Bennedict Mathurin,Obi Toppin,Aaron Nesmith,Andrew Nembhard,Buddy Hield,Jalen Smith,,,,,,
88,ORL,2024,Franz Wagner,Wendell Carter Jr.,Markelle Fultz,Paolo Banchero,Jalen Suggs,Cole Anthony,Gary Harris,Joe Ingles,Moritz Wagner,Jonathan Isaac,Goga Bitadze,,,,
89,LAL,2024,Anthony Davis,D'Angelo Russell,LeBron James,Austin Reaves,Taurean Prince,Christian Wood,Gabe Vincent,Cam Reddish,Jaxson Hayes,,,,,,
90,DAL,2024,Luka Dončić,Josh Green,Grant Williams,Derrick Jones Jr.,Dereck Lively II,Tim Hardaway Jr.,Maxi Kleber,Seth Curry,Dwight Powell,Jaden Hardy,Dante Exum,,,,
91,MEM,2024,Desmond Bane,Marcus Smart,Jaren Jackson Jr.,Ziaire Williams,Xavier Tillman Sr.,David Roddy,John Konchar,Derrick Rose,Jake LaRavia,,,,,,
92,MIA,2024,Tyler Herro,Jimmy Butler,Kyle Lowry,Thomas Bryant,Kevin Love,Orlando Robinson,Josh Richardson,Jaime Jaquez Jr.,Duncan Robinson,Nikola Jović,,,,,
93,MIL,2024,Damian Lillard,Malik Beasley,Giannis Antetokounmpo,Brook Lopez,Khris Middleton,Jae Crowder,Pat Connaughton,Bobby Portis,A.J. Green,Cameron Payne,,,,,
94,GSW,2024,Stephen Curry,Kevon Looney,Draymond Green,Moses Moody,Andrew Wiggins,Chris Paul,Brandin Podziemski,Dario Šarić,Gary Payton II,Trayce Jackson-Davis,Lester Quinones,Cory Joseph,Jerome Robinson,,
95,NOP,2024,Jordan Hawkins,CJ McCollum,Zion Williamson,Jonas Valančiūnas,Herbert Jones,Matt Ryan,Dyson Daniels,Larry Nance Jr.,Kira Lewis Jr.,Kaiser Gates,Cody Zeller,,,,
96,DET,2024,Cade Cunningham,Isaiah Stewart,Ausar Thompson,Killian Hayes,Jalen Duren,Marvin Bagley III,Alec Burks,Jaden Ivey,Marcus Sasser,Joe Harris,Jared Rhoden,Stanley Umude,,,
97,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Josh Giddey,Luguentz Dort,Chet Holmgren,Cason Wallace,Olivier Sarr,Isaiah Joe,Ousmane Dieng,Dāvis Bertāns,Tre Mann,Aleksej Pokusevski,,,
98,POR,2024,Shaedon Sharpe,Jerami Grant,Scoot Henderson,Deandre Ayton,Matisse Thybulle,Malcolm Brogdon,Toumani Camara,Jabari Walker,Skylar Mays,,,,,,
99,TOR,2024,Scottie Barnes,Pascal Siakam,Dennis Schröder,OG Anunoby,Jakob Poeltl,Gradey Dick,Gary Trent Jr.,Chris Boucher,Malachi Flynn,Jalen McDaniels,,,,,
100,BOS,2024,Jaylen Brown,Jayson Tatum,Jrue Holiday,Kristaps Porziņģis,Derrick White,Sam Hauser,Payton Pritchard,Al Horford,Luke Kornet,Oshae Brissett,Dalano Banton,Lamar Stevens,Svi Mykhailiuk,,
101,WAS,2024,Bilal Coulibaly,Tyus Jones,Kyle Kuzma,Jordan Poole,Deni Avdija,Corey Kispert,Danilo Gallinari,Johnny Davis,Eugene Omoruyi,Ryan Rollins,Delon Wright,Anthony Gill,Patrick Baldwin Jr.,Jared Butler,
102,NYK,2024,Jalen Brunson,Julius Randle,RJ Barrett,Mitchell Robinson,Quentin Grimes,Josh Hart,Immanuel Quickley,Isaiah Hartenstein,Donte DiVincenzo,Miles McBride,DaQuan Jeffries,Jericho Sims,Dylan Windler,Ryan Arcidiacono,
103,CLE,2024,Max Strus,Evan Mobley,Donovan Mitchell,Isaac Okoro,Dean Wade,Georges Niang,Emoni Bates,Craig Porter Jr.,Tristan Thompson,Sam Merrill,Damian Jones,,,,
104,ORL,2024,Franz Wagner,Markelle Fultz,Paolo Banchero,Jalen Suggs,Wendell Carter Jr.,Gary Harris,Cole Anthony,Moritz Wagner,Joe Ingles,Caleb Houstan,Jett Howard,Chuma Okeke,Goga Bitadze,Anthony Black,
105,LAC,2024,Kawhi Leonard,Russell Westbrook,Paul George,Bones Hyland,Ivica Zubac,Norman Powell,Mason Plumlee,Kobe Brown,Amir Coffey,Jordan Miller,Moussa Diabaté,,,,
106,SAS,2024,Devin Vassell,Keldon Johnson,Jeremy Sochan,Victor Wembanyama,Zach Collins,Tre Jones,Cedi Osman,Charles Bassey,Doug McDermott,Malaki Branham,Julian Champagnie,,,,
107,PHO,2024,Kevin Durant,Grayson Allen,Eric Gordon,Josh Okogie,Jusuf Nurkić,Yuta Watanabe,Nassir Little,Drew Eubanks,Jordan Goodwin,,,,,,
108,WAS,2024,Kyle Kuzma,Deni Avdija,Tyus Jones,Mike Muscala,Jordan Poole,Bilal Coulibaly,Delon Wright,Danilo Gallinari,Corey Kispert,Landry Shamet,Johnny Davis,Eugene Omoruyi,Ryan Rollins,Anthony Gill,
109,ATL,2024,Trae Young,Dejounte Murray,De'Andre Hunter,Saddiq Bey,Clint Capela,Onyeka Okongwu,Jalen Johnson,Bogdan Bogdanović,AJ Griffin,,,,,,
110,IND,2024,Obi Toppin,Myles Turner,Bruce Brown,Andrew Nembhard,Bennedict Mathurin,T.J. McConnell,Buddy Hield,Jordan Nwora,Isaiah Jackson,Aaron Nesmith,Ben Sheppard,Jarace Walker,,,
111,BOS,2024,Kristaps Porziņģis,Derrick White,Jayson Tatum,Jaylen Brown,Jrue Holiday,Payton Pritchard,Oshae Brissett,Sam Hauser,Al Horford,Svi Mykhailiuk,Dalano Banton,Lamar Stevens,Luke Kornet,,
112,CHI,2024,Zach LaVine,Nikola Vučević,Coby White,DeMar DeRozan,Patrick Williams,Alex Caruso,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
113,DAL,2024,Luka Dončić,Dereck Lively II,Derrick Jones Jr.,Grant Williams,Josh Green,Tim Hardaway Jr.,Jaden Hardy,Seth Curry,Dwight Powell,Dante Exum,Maxi Kleber,,,,
114,POR,2024,Shaedon Sharpe,Jerami Grant,Deandre Ayton,Scoot Henderson,Matisse Thybulle,Toumani Camara,Malcolm Brogdon,Robert Williams,Jabari Walker,Skylar Mays,,,,,
115,DET,2024,Cade Cunningham,Marvin Bagley III,Isaiah Stewart,Ausar Thompson,Killian Hayes,Marcus Sasser,Jaden Ivey,Joe Harris,Stanley Umude,James Wiseman,,,,,
116,SAC,2024,Keegan Murray,Domantas Sabonis,Harrison Barnes,Davion Mitchell,Kevin Huerter,Malik Monk,Sasha Vezenkov,Colby Jones,JaVale McGee,Chris Duarte,,,,,
117,GSW,2024,Stephen Curry,Klay Thompson,Draymond Green,Andrew Wiggins,Kevon Looney,Chris Paul,Gary Payton II,Dario Šarić,Jonathan Kuminga,Moses Moody,,,,,
118,CHO,2024,Terry Rozier,P.J. Washington,LaMelo Ball,Gordon Hayward,Mark Williams,Brandon Miller,Théo Maledon,Nick Richards,JT Thor,,,,,,
119,HOU,2024,Fred VanVleet,Dillon Brooks,Jalen Green,Jabari Smith Jr.,Alperen Şengün,Jock Landale,Jae'Sean Tate,Amen Thompson,Jeff Green,Aaron Holiday,,,,,
120,LAC,2024,Russell Westbrook,Kawhi Leonard,Paul George,Bones Hyland,Ivica Zubac,Norman Powell,P.J. Tucker,Mason Plumlee,Kobe Brown,,,,,,
121,LAL,2024,Anthony Davis,LeBron James,Austin Reaves,Cam Reddish,D'Angelo Russell,Christian Wood,Max Christie,Jaxson Hayes,,,,,,,
122,BRK,2024,Royce O'Neale,Cam Thomas,Ben Simmons,Mikal Bridges,Dorian Finney-Smith,Lonnie Walker IV,Armoni Brooks,Trendon Watford,Day'Ron Sharpe,Jalen Wilson,,,,,
123,MIA,2024,Tyler Herro,Jimmy Butler,Bam Adebayo,Kyle Lowry,Jaime Jaquez Jr.,Josh Richardson,Haywood Highsmith,Duncan Robinson,Thomas Bryant,,,,,,
124,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Michael Porter Jr.,Aaron Gordon,Christian Braun,Reggie Jackson,Zeke Nnaji,Julian Strawther,Peyton Watson,Justin Holiday,Jalen Pickett,Braxton Key,Hunter Tyson,
125,MIN,2024,Rudy Gobert,Anthony Edwards,Karl-Anthony Towns,Mike Conley,Jaden McDaniels,Kyle Anderson,Nickeil Alexander-Walker,Naz Reid,Shake Milton,Troy Brown Jr.,Jordan McLaughlin,Josh Minott,,,
126,CLE,2024,Donovan Mitchell,Evan Mobley,Max Strus,Isaac Okoro,Georges Niang,Caris LeVert,Dean Wade,Tristan Thompson,Craig Porter Jr.,,,,,,
