,Team,Season Year,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
19,POR,2025,Jerami Grant,Anfernee Simons,Deandre Ayton,Toumani Camara,Deni Avdija,Scoot Henderson,Rayan Rupert,Donovan Clingan,Kris Murray,Dalano Banton,Jabari Walker,Duop Reath,,,
20,CLE,2025,Donovan Mitchell,Evan Mobley,Jarrett Allen,Darius Garland,Dean Wade,Caris LeVert,Isaac Okoro,Ty Jerome,Georges Niang,Sam Merrill,Craig Porter Jr.,Tristan Thompson,Jaylon Tyson,,
21,TOR,2025,Gradey Dick,Jakob Poeltl,Scottie Barnes,Ochai Agbaji,Immanuel Quickley,Davion Mitchell,Chris Boucher,Jamal Shead,Jamison Battle,Bruno Fernando,Jonathan Mogbo,Garrett Temple,Ulrich Chomche,,
22,MEM,2025,Santi Aldama,Ja Morant,Desmond Bane,Marcus Smart,Zach Edey,Jaylen Wells,Jay Huff,Scotty Pippen Jr.,Jake LaRavia,John Konchar,Brandon Clarke,,,,
23,UTA,2025,Lauri Markkanen,Keyonte George,Walker Kessler,Taylor Hendricks,Collin Sexton,Jordan Clarkson,Cody Williams,John Collins,Patty Mills,Brice Sensabaugh,,,,,
24,SAS,2025,Harrison Barnes,Chris Paul,Victor Wembanyama,Julian Champagnie,Jeremy Sochan,Keldon Johnson,Stephon Castle,Tre Jones,Zach Collins,Blake Wesley,Malaki Branham,Charles Bassey,Sandro Mamukelashvili,,
25,DAL,2025,Luka Dončić,Kyrie Irving,P.J. Washington,Klay Thompson,Daniel Gafford,Dereck Lively II,Naji Marshall,Jaden Hardy,Maxi Kleber,Quentin Grimes,Spencer Dinwiddie,Dwight Powell,Olivier-Maxence Prosper,,
26,OKC,2025,Shai Gilgeous-Alexander,Chet Holmgren,Jalen Williams,Luguentz Dort,Isaiah Joe,Cason Wallace,Aaron Wiggins,Alex Caruso,Ousmane Dieng,Ajay Mitchell,Alex Ducas,Adam Flagler,Dillon Jones,,
27,DEN,2025,Jamal Murray,Nikola Jokić,Aaron Gordon,Michael Porter Jr.,Christian Braun,Russell Westbrook,Julian Strawther,Peyton Watson,Dario Šarić,Trey Alexander,Vlatko Čančar,Zeke Nnaji,Jalen Pickett,Hunter Tyson,
28,MIN,2025,Anthony Edwards,Julius Randle,Rudy Gobert,Jaden McDaniels,Mike Conley,Donte DiVincenzo,Naz Reid,Nickeil Alexander-Walker,Joe Ingles,,,,,,
29,SAC,2025,Keegan Murray,DeMar DeRozan,Domantas Sabonis,De'Aaron Fox,Kevin Huerter,Malik Monk,Keon Ellis,Trey Lyles,Alex Len,Doug McDermott,,,,,
30,BOS,2025,Jaylen Brown,Derrick White,Jayson Tatum,Jrue Holiday,Al Horford,Payton Pritchard,Luke Kornet,Xavier Tillman Sr.,Neemias Queta,Jordan Walsh,Baylor Scheierman,JD Davison,Jaden Springer,Drew Peterson,
31,WAS,2025,Jordan Poole,Bilal Coulibaly,Kyle Kuzma,Carlton Carrington,Alex Sarr,Corey Kispert,Kyshawn George,Jonas Valančiūnas,Marvin Bagley III,Jared Butler,Patrick Baldwin Jr.,Johnny Davis,Justin Champagnie,Anthony Gill,
32,CHO,2025,Miles Bridges,Nick Richards,LaMelo Ball,Seth Curry,Cody Martin,Grant Williams,Tre Mann,Vasilije Micić,Josh Green,Moussa Diabaté,,,,,
33,ATL,2025,Trae Young,Jalen Johnson,De'Andre Hunter,Dyson Daniels,Clint Capela,Onyeka Okongwu,Garrison Mathews,Zaccharie Risacher,Vit Krejci,,,,,,
34,DET,2025,Cade Cunningham,Tobias Harris,Jaden Ivey,Jalen Duren,Tim Hardaway Jr.,Malik Beasley,Simone Fontecchio,Ron Holland,Isaiah Stewart,Paul Reed,Daniss Jenkins,Wendell Moore Jr.,Marcus Sasser,,
35,CLE,2025,Darius Garland,Evan Mobley,Jarrett Allen,Donovan Mitchell,Dean Wade,Caris LeVert,Isaac Okoro,Ty Jerome,Sam Merrill,Georges Niang,Craig Porter Jr.,Jaylon Tyson,,,
36,MEM,2025,Desmond Bane,Ja Morant,Zach Edey,Santi Aldama,Marcus Smart,Scotty Pippen Jr.,Jake LaRavia,John Konchar,Jaylen Wells,Jay Huff,Brandon Clarke,Yuki Kawamura,,,
37,HOU,2025,Jabari Smith Jr.,Jalen Green,Alperen Sengun,Dillon Brooks,Fred VanVleet,Amen Thompson,Tari Eason,Cam Whitmore,Reed Sheppard,Jock Landale,Jeenathan Williams,Aaron Holiday,Jae'Sean Tate,,
38,PHO,2025,Kevin Durant,Bradley Beal,Devin Booker,Tyus Jones,Jusuf Nurkić,Royce O'Neale,Mason Plumlee,Ryan Dunn,Monte Morris,Oso Ighodaro,,,,,
39,LAL,2025,Rui Hachimura,Anthony Davis,Austin Reaves,LeBron James,D'Angelo Russell,Gabe Vincent,Jaxson Hayes,Dalton Knecht,Max Christie,,,,,,
40,CHI,2025,Patrick Williams,Coby White,Zach LaVine,Nikola Vučević,Josh Giddey,Ayo Dosunmu,Julian Phillips,Jalen Smith,Dalen Terry,Matas Buzelis,Talen Horton-Tucker,,,,
41,MIL,2025,Damian Lillard,Giannis Antetokounmpo,Gary Trent Jr.,Taurean Prince,Brook Lopez,Bobby Portis,Pat Connaughton,Delon Wright,A.J. Green,Ryan Rollins,MarJon Beauchamp,AJ Johnson,Tyler Smith,,
42,IND,2025,Tyrese Haliburton,Myles Turner,Pascal Siakam,Andrew Nembhard,Aaron Nesmith,Bennedict Mathurin,Obi Toppin,Jarace Walker,T.J. McConnell,Isaiah Jackson,Ben Sheppard,Enrique Freeman,Johnny Furphy,Quenton Jackson,James Johnson
43,NYK,2025,Josh Hart,OG Anunoby,Mikal Bridges,Karl-Anthony Towns,Jalen Brunson,Cameron Payne,Miles McBride,Jericho Sims,Ariel Hukporti,Pacome Dadiet,Tyler Kolek,Jacob Toppin,,,
44,BRK,2025,Cameron Johnson,Cam Thomas,Dennis Schröder,Dorian Finney-Smith,Ben Simmons,Nic Claxton,Ziaire Williams,Shake Milton,Noah Clowney,Jalen Wilson,Keon Johnson,,,,
45,ORL,2025,Franz Wagner,Paolo Banchero,Wendell Carter Jr.,Kentavious Caldwell-Pope,Jalen Suggs,Anthony Black,Cole Anthony,Gary Harris,Moritz Wagner,Goga Bitadze,Jett Howard,,,,
46,NOP,2025,CJ McCollum,Brandon Ingram,Herbert Jones,Zion Williamson,Daniel Theis,Jordan Hawkins,Yves Missi,Javonte Green,Jose Alvarado,Jeremiah Robinson-Earl,,,,,
47,POR,2025,Jerami Grant,Anfernee Simons,Deandre Ayton,Deni Avdija,Toumani Camara,Scoot Henderson,Jabari Walker,Kris Murray,Donovan Clingan,,,,,,
48,PHI,2025,Tyrese Maxey,Kelly Oubre Jr.,Caleb Martin,Kyle Lowry,Andre Drummond,KJ Martin,Eric Gordon,Guerschon Yabusele,Ricky Council IV,Jared McCain,Reggie Jackson,,,,
49,TOR,2025,Scottie Barnes,Jakob Poeltl,Ochai Agbaji,Gradey Dick,Davion Mitchell,Jamal Shead,Jonathan Mogbo,Chris Boucher,D.J. Carton,Jamison Battle,Bruno Fernando,,,,
50,GSW,2025,Stephen Curry,Andrew Wiggins,Draymond Green,Jonathan Kuminga,Trayce Jackson-Davis,Brandin Podziemski,Buddy Hield,Moses Moody,Kyle Anderson,De'Anthony Melton,Kevon Looney,Gary Payton II,Lindy Waters III,Gui Santos,
51,UTA,2025,Keyonte George,Lauri Markkanen,Taylor Hendricks,Collin Sexton,Walker Kessler,Cody Williams,John Collins,Jordan Clarkson,Patty Mills,Brice Sensabaugh,Drew Eubanks,Kyle Filipowski,,,
52,OKC,2025,Jalen Williams,Shai Gilgeous-Alexander,Cason Wallace,Chet Holmgren,Luguentz Dort,Alex Caruso,Ousmane Dieng,Aaron Wiggins,Ajay Mitchell,Isaiah Joe,Dillon Jones,Adam Flagler,Alex Ducas,,
53,CHI,2025,Zach LaVine,Nikola Vučević,Coby White,Josh Giddey,Patrick Williams,Ayo Dosunmu,Lonzo Ball,Julian Phillips,Jalen Smith,Matas Buzelis,Chris Duarte,Talen Horton-Tucker,Dalen Terry,Jevon Carter,
54,MIA,2025,Jimmy Butler,Tyler Herro,Bam Adebayo,Terry Rozier,Nikola Jović,Alec Burks,Jaime Jaquez Jr.,Duncan Robinson,Thomas Bryant,Dru Smith,,,,,
55,CHO,2025,LaMelo Ball,Miles Bridges,Nick Richards,Seth Curry,Cody Martin,Tre Mann,Grant Williams,Vasilije Micić,Tidjane Salaün,Moussa Diabaté,,,,,
56,LAC,2025,Ivica Zubac,James Harden,Norman Powell,Derrick Jones Jr.,Terance Mann,Amir Coffey,Nicolas Batum,Kris Dunn,Kevin Porter Jr.,Kai Jones,,,,,
57,DEN,2025,Michael Porter Jr.,Jamal Murray,Nikola Jokić,Aaron Gordon,Christian Braun,Russell Westbrook,Julian Strawther,Peyton Watson,Dario Šarić,,,,,,
58,BOS,2025,Derrick White,Jaylen Brown,Jayson Tatum,Jrue Holiday,Al Horford,Luke Kornet,Payton Pritchard,Xavier Tillman Sr.,,,,,,,
59,DET,2025,Cade Cunningham,Jaden Ivey,Tim Hardaway Jr.,Tobias Harris,Jalen Duren,Malik Beasley,Isaiah Stewart,Simone Fontecchio,Ron Holland,,,,,,
60,SAC,2025,De'Aaron Fox,Keegan Murray,DeMar DeRozan,Domantas Sabonis,Kevin Huerter,Malik Monk,Trey Lyles,Alex Len,Jordan McLaughlin,,,,,,
61,LAL,2025,Anthony Davis,Rui Hachimura,LeBron James,Austin Reaves,D'Angelo Russell,Dalton Knecht,Max Christie,Jaxson Hayes,Gabe Vincent,,,,,,
62,ORL,2025,Paolo Banchero,Franz Wagner,Wendell Carter Jr.,Jalen Suggs,Kentavious Caldwell-Pope,Anthony Black,Moritz Wagner,Jett Howard,Cole Anthony,Goga Bitadze,Caleb Houstan,Cory Joseph,Mac McClung,Gary Harris,Trevelin Queen
63,MEM,2025,Desmond Bane,Ja Morant,Jaren Jackson Jr.,Marcus Smart,Zach Edey,Santi Aldama,Jake LaRavia,Scotty Pippen Jr.,Jay Huff,Jaylen Wells,Brandon Clarke,Yuki Kawamura,,,
64,TOR,2025,Scottie Barnes,Ochai Agbaji,Jakob Poeltl,Gradey Dick,Davion Mitchell,Jamal Shead,Jamison Battle,Chris Boucher,Bruno Fernando,D.J. Carton,Jonathan Mogbo,,,,
65,MIN,2025,Anthony Edwards,Rudy Gobert,Julius Randle,Jaden McDaniels,Mike Conley,Donte DiVincenzo,Naz Reid,Nickeil Alexander-Walker,Joe Ingles,,,,,,
66,DAL,2025,Luka Dončić,Kyrie Irving,P.J. Washington,Klay Thompson,Daniel Gafford,Dereck Lively II,Naji Marshall,Maxi Kleber,Jaden Hardy,Quentin Grimes,Jazian Gortman,Dwight Powell,Olivier-Maxence Prosper,,
67,PHO,2025,Kevin Durant,Devin Booker,Tyus Jones,Jusuf Nurkić,Ryan Dunn,Royce O'Neale,Damion Lee,Monte Morris,Mason Plumlee,Oso Ighodaro,Collin Gillespie,,,,
68,HOU,2025,Fred VanVleet,Dillon Brooks,Jalen Green,Jabari Smith Jr.,Alperen Sengun,Cam Whitmore,Amen Thompson,Tari Eason,Jock Landale,Reed Sheppard,,,,,
69,SAS,2025,Jeremy Sochan,Victor Wembanyama,Harrison Barnes,Chris Paul,Julian Champagnie,Keldon Johnson,Stephon Castle,Zach Collins,Malaki Branham,Blake Wesley,,,,,
70,CLE,2025,Evan Mobley,Donovan Mitchell,Jarrett Allen,Darius Garland,Dean Wade,Georges Niang,Sam Merrill,Caris LeVert,Isaac Okoro,Ty Jerome,Jaylon Tyson,Tristan Thompson,Craig Porter Jr.,,
71,WAS,2025,Bilal Coulibaly,Carlton Carrington,Alex Sarr,Kyle Kuzma,Jordan Poole,Kyshawn George,Corey Kispert,Jonas Valančiūnas,Jared Butler,Marvin Bagley III,Johnny Davis,Patrick Baldwin Jr.,,,
72,MIA,2024,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Kevin Love,Duncan Robinson,Dru Smith,Jaime Jaquez Jr.,Thomas Bryant,Jamal Cain,,,,,
73,BOS,2024,Jayson Tatum,Jrue Holiday,Derrick White,Jaylen Brown,Kristaps Porziņģis,Al Horford,Oshae Brissett,Payton Pritchard,Sam Hauser,,,,,,
74,TOR,2024,Pascal Siakam,Scottie Barnes,Dennis Schröder,OG Anunoby,Jakob Poeltl,Gary Trent Jr.,Precious Achiuwa,Jalen McDaniels,Chris Boucher,Gradey Dick,Malachi Flynn,,,,
75,CHI,2024,DeMar DeRozan,Nikola Vučević,Coby White,Zach LaVine,Patrick Williams,Alex Caruso,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
76,DET,2024,Isaiah Stewart,Jalen Duren,Ausar Thompson,Killian Hayes,Cade Cunningham,Alec Burks,Jaden Ivey,Marvin Bagley III,Joe Harris,Marcus Sasser,,,,,
77,CHO,2024,Terry Rozier,Gordon Hayward,LaMelo Ball,P.J. Washington,Mark Williams,Brandon Miller,JT Thor,Nick Richards,Théo Maledon,,,,,,
78,OKC,2024,Luguentz Dort,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Isaiah Joe,Cason Wallace,Aaron Wiggins,Ousmane Dieng,Vasilije Micić,,,,,
79,CLE,2024,Donovan Mitchell,Max Strus,Evan Mobley,Isaac Okoro,Dean Wade,Caris LeVert,Georges Niang,Damian Jones,Ty Jerome,,,,,,
80,BRK,2024,Spencer Dinwiddie,Mikal Bridges,Cam Thomas,Ben Simmons,Dorian Finney-Smith,Royce O'Neale,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,,,,,,
81,DAL,2024,Luka Dončić,Kyrie Irving,Grant Williams,Dereck Lively II,Derrick Jones Jr.,Tim Hardaway Jr.,Josh Green,Maxi Kleber,Dwight Powell,Seth Curry,Dante Exum,,,,
82,DEN,2024,Nikola Jokić,Kentavious Caldwell-Pope,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Reggie Jackson,Christian Braun,Peyton Watson,Zeke Nnaji,Julian Strawther,,,,,
83,MEM,2024,Xavier Tillman Sr.,Desmond Bane,Ziaire Williams,Marcus Smart,Jaren Jackson Jr.,John Konchar,Derrick Rose,Jake LaRavia,David Roddy,,,,,,
84,ORL,2024,Franz Wagner,Paolo Banchero,Jalen Suggs,Wendell Carter Jr.,Markelle Fultz,Cole Anthony,Moritz Wagner,Gary Harris,Joe Ingles,Jonathan Isaac,,,,,
85,POR,2024,Shaedon Sharpe,Jerami Grant,Deandre Ayton,Scoot Henderson,Matisse Thybulle,Malcolm Brogdon,Toumani Camara,Robert Williams,Jabari Walker,Skylar Mays,,,,,
86,GSW,2024,Stephen Curry,Chris Paul,Klay Thompson,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Moses Moody,Gary Payton II,Dario Šarić,Trayce Jackson-Davis,,,,,
87,SAC,2024,Keegan Murray,De'Aaron Fox,Domantas Sabonis,Harrison Barnes,Kevin Huerter,Chris Duarte,Malik Monk,Sasha Vezenkov,JaVale McGee,Davion Mitchell,,,,,
88,HOU,2024,Fred VanVleet,Alperen Sengun,Dillon Brooks,Jalen Green,Jabari Smith Jr.,Jeff Green,Jae'Sean Tate,Amen Thompson,Reggie Bullock,Boban Marjanović,,,,,
89,SAS,2024,Devin Vassell,Zach Collins,Keldon Johnson,Victor Wembanyama,Jeremy Sochan,Tre Jones,Cedi Osman,Doug McDermott,Malaki Branham,Charles Bassey,,,,,
90,LAC,2024,Paul George,Russell Westbrook,Kawhi Leonard,Robert Covington,Ivica Zubac,Nicolas Batum,Norman Powell,Bones Hyland,Mason Plumlee,,,,,,
91,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Talen Horton-Tucker,Walker Kessler,Kelly Olynyk,Collin Sexton,Kris Dunn,Ochai Agbaji,Keyonte George,,,,,
92,IND,2024,Bruce Brown,Tyrese Haliburton,Myles Turner,Obi Toppin,Bennedict Mathurin,Aaron Nesmith,Andrew Nembhard,T.J. McConnell,Buddy Hield,Jalen Smith,,,,,
93,CLE,2024,Caris LeVert,Max Strus,Dean Wade,Isaac Okoro,Evan Mobley,Georges Niang,Tristan Thompson,Emoni Bates,Sam Merrill,Damian Jones,Craig Porter Jr.,,,,
94,CHI,2024,Zach LaVine,Nikola Vučević,DeMar DeRozan,Coby White,Patrick Williams,Torrey Craig,Alex Caruso,Ayo Dosunmu,Andre Drummond,Jevon Carter,Dalen Terry,Julian Phillips,Terry Taylor,,
95,DET,2024,Cade Cunningham,Isaiah Stewart,Jalen Duren,Ausar Thompson,Killian Hayes,Alec Burks,Jaden Ivey,Marvin Bagley III,Joe Harris,Marcus Sasser,,,,,
96,MIA,2024,Tyler Herro,Bam Adebayo,Kyle Lowry,Nikola Jović,Jaime Jaquez Jr.,Duncan Robinson,Jamal Cain,Dru Smith,Thomas Bryant,Orlando Robinson,Cole Swider,R.J. Hampton,,,
97,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Nickeil Alexander-Walker,Naz Reid,Kyle Anderson,Shake Milton,Troy Brown Jr.,Jordan McLaughlin,Leonard Miller,Josh Minott,,,
98,NYK,2024,Julius Randle,Jalen Brunson,RJ Barrett,Mitchell Robinson,Quentin Grimes,Josh Hart,Donte DiVincenzo,Immanuel Quickley,Isaiah Hartenstein,Miles McBride,Jericho Sims,DaQuan Jeffries,Dylan Windler,,
99,NOP,2024,Brandon Ingram,CJ McCollum,Zion Williamson,Herbert Jones,Jonas Valančiūnas,Matt Ryan,Dyson Daniels,Jordan Hawkins,Larry Nance Jr.,Kira Lewis Jr.,Cody Zeller,E.J. Liddell,,,
100,UTA,2024,Lauri Markkanen,John Collins,Walker Kessler,Jordan Clarkson,Talen Horton-Tucker,Keyonte George,Collin Sexton,Kris Dunn,Simone Fontecchio,Kelly Olynyk,Ochai Agbaji,Luka Šamanić,Omer Yurtseven,,
101,PHO,2024,Grayson Allen,Kevin Durant,Eric Gordon,Josh Okogie,Jusuf Nurkić,Jordan Goodwin,Nassir Little,Yuta Watanabe,Drew Eubanks,Udoka Azubuike,Keita Bates-Diop,Saben Lee,Bol Bol,Chimezie Metu,
102,PHI,2024,Tyrese Maxey,Tobias Harris,Joel Embiid,De'Anthony Melton,P.J. Tucker,Kelly Oubre Jr.,Patrick Beverley,Paul Reed,Danuel House Jr.,Danny Green,,,,,
103,TOR,2024,Scottie Barnes,Pascal Siakam,Dennis Schröder,Gary Trent Jr.,Jakob Poeltl,Gradey Dick,Precious Achiuwa,Malachi Flynn,Chris Boucher,Jalen McDaniels,,,,,
104,MEM,2024,Desmond Bane,Ziaire Williams,Marcus Smart,Jaren Jackson Jr.,Xavier Tillman Sr.,David Roddy,John Konchar,Derrick Rose,Jake LaRavia,Kenneth Lofton Jr.,,,,,
105,WAS,2024,Kyle Kuzma,Jordan Poole,Daniel Gafford,Tyus Jones,Deni Avdija,Corey Kispert,Delon Wright,Bilal Coulibaly,Mike Muscala,Danilo Gallinari,,,,,
106,GSW,2024,Stephen Curry,Klay Thompson,Andrew Wiggins,Kevon Looney,Draymond Green,Chris Paul,Dario Šarić,Jonathan Kuminga,Gary Payton II,Moses Moody,,,,,
107,HOU,2024,Jalen Green,Jabari Smith Jr.,Dillon Brooks,Alperen Sengun,Fred VanVleet,Jae'Sean Tate,Jeff Green,Amen Thompson,Reggie Bullock,,,,,,
108,SAS,2024,Devin Vassell,Victor Wembanyama,Zach Collins,Keldon Johnson,Jeremy Sochan,Malaki Branham,Tre Jones,Cedi Osman,Charles Bassey,Doug McDermott,Julian Champagnie,Blake Wesley,Sandro Mamukelashvili,Dominick Barlow,
109,LAC,2024,Kawhi Leonard,Paul George,Russell Westbrook,Robert Covington,Ivica Zubac,Bones Hyland,Mason Plumlee,Norman Powell,KJ Martin,Nicolas Batum,Amir Coffey,Kobe Brown,Moussa Diabaté,,
110,ATL,2024,Trae Young,Dejounte Murray,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Bogdan Bogdanović,Onyeka Okongwu,AJ Griffin,Bruno Fernando,Trent Forrest,Kobe Bufkin,Mouhamed Gueye,,
111,MIL,2024,Malik Beasley,Giannis Antetokounmpo,Damian Lillard,Jae Crowder,Brook Lopez,Pat Connaughton,Bobby Portis,MarJon Beauchamp,Cameron Payne,Thanasis Antetokounmpo,Andre Jackson Jr.,A.J. Green,Robin Lopez,TyTy Washington Jr.,
112,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Michael Porter Jr.,Aaron Gordon,Reggie Jackson,Peyton Watson,Christian Braun,Zeke Nnaji,Julian Strawther,Collin Gillespie,Braxton Key,Justin Holiday,Hunter Tyson,
113,OKC,2024,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Luguentz Dort,Cason Wallace,Ousmane Dieng,Isaiah Joe,Aleksej Pokusevski,Vasilije Micić,Aaron Wiggins,Tre Mann,Keyontae Johnson,Olivier Sarr,
114,POR,2024,Shaedon Sharpe,Jerami Grant,Scoot Henderson,Deandre Ayton,Matisse Thybulle,Toumani Camara,Malcolm Brogdon,Robert Williams,Jabari Walker,Kris Murray,Skylar Mays,Rayan Rupert,,,
115,PHI,2024,Tobias Harris,Tyrese Maxey,De'Anthony Melton,Joel Embiid,P.J. Tucker,Kelly Oubre Jr.,Patrick Beverley,Paul Reed,Danuel House Jr.,Jaden Springer,Furkan Korkmaz,Filip Petrušev,Mo Bamba,,
116,LAL,2024,Anthony Davis,Taurean Prince,D'Angelo Russell,LeBron James,Austin Reaves,Gabe Vincent,Rui Hachimura,Christian Wood,Jaxson Hayes,Cam Reddish,,,,,
117,SAC,2024,Harrison Barnes,Kevin Huerter,De'Aaron Fox,Domantas Sabonis,Keegan Murray,Malik Monk,Sasha Vezenkov,Davion Mitchell,JaVale McGee,Chris Duarte,,,,,
118,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Jaden McDaniels,Kyle Anderson,Naz Reid,Shake Milton,Nickeil Alexander-Walker,Luka Garza,Josh Minott,Jordan McLaughlin,Daishen Nix,,
119,ATL,2024,Dejounte Murray,Trae Young,Jalen Johnson,De'Andre Hunter,Clint Capela,Saddiq Bey,Onyeka Okongwu,Bogdan Bogdanović,AJ Griffin,Kobe Bufkin,Bruno Fernando,Mouhamed Gueye,,,
120,BRK,2024,Cam Thomas,Mikal Bridges,Ben Simmons,Dorian Finney-Smith,Spencer Dinwiddie,Royce O'Neale,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,,,,,,
121,CHO,2024,Terry Rozier,P.J. Washington,Gordon Hayward,Mark Williams,LaMelo Ball,Brandon Miller,Théo Maledon,JT Thor,Nick Richards,,,,,,
122,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Talen Horton-Tucker,Walker Kessler,Keyonte George,Kelly Olynyk,Collin Sexton,Ochai Agbaji,Kris Dunn,,,,,
123,DEN,2024,Jamal Murray,Nikola Jokić,Kentavious Caldwell-Pope,Aaron Gordon,Michael Porter Jr.,Christian Braun,Reggie Jackson,Peyton Watson,Zeke Nnaji,Julian Strawther,,,,,
